compound,icsd num,sgno,Polarization (micro C/cm^2),B (GPa),E_BD (MV/cm),dft c/a,atomic vol (A^3/atom),largest volume change during SS-NEB path,static barrier (meV/A^3),ss-neb barrier (meV/A^3),Eg(GGA+U) (eV),Eg(HSE06) (eV),omegamax(meV)
LiGaSe2,icsd_096915,33,53.7,35,1.5,1.587,24.25,3.40%,8.57,1.68,2.068,3.204,41.8
LiAlSe2,icsd_280225,33,54,36,2.1,1.578,23.89,3.20%,9.41,1.96,3.026,4.171,46.3
LiGaS2,icsd_068465,33,59.9,44,2.9,1.588,20.59,3.40%,10.03,2.05,2.966,5.362,47.6
LiAlS2,icsd_608360,33,60,45,3.7,1.577,20.25,2.90%,11.36,2.46,4.127,5.362,56.8
Mg2SbN3,mp-1029378,36,103.5,115,2.9,1.571,13.85,2.30%,14.94,3.07,1.36,2.742,92.6
Zn2SbN3,mp-1029334,36,115.4,128,1.5,1.623,13.42,3.00%,17.89,3.68,0.181,1.579,86.3
ZnTiN2,mp-1016108,33,118.9,150,4,1.597,12.55,-5.80%,18.64,3.86,2.406,3.569,90.7
Zn2NbN3,mp-1029422,36,115.6,136,3.5,1.65,13.15,2.90%,19.01,3.88,1.982,3.072,95.7
LiGaO2,icsd_093086,33,86.8,83,5.9,1.578,11.22,2.50%,16.35,4.58,3.19,5.106,82.8
Mg3MoN4,mp-1245510,31,112.7,118,6.4,1.561,13.08,-7.10%,23.55,4.63,3.131,4.236,104.5
Cu1Ga1O2,icsd_291233,33,86,109,1,1.604,12.16,3.30%,18.69,4.68,0.084,0.962,81.5
Zn2TaN3,mp-1029387,36,118.2,136,4.6,1.647,13.14,3.10%,24.21,5.04,2.25,3.569,99.8
ZnO,icsd_031052,186,82.3,129,1.7,1.614,12.42,-4.20%,10.15,5.53,0.73,2.48,63.2
Li2GeO3,icsd_100403,36,75.5,67,8.5,1.521,11.06,2.20%,11.78,5.96,3.541,5.685,92.5
Mg2PN3,mp-3933,36,93.3,148,14,1.466,11,1.00%,19.54,6.07,3.604,5.178,132
MgGeN2,icsd_636948,33,123.4,146,5.3,1.569,12.04,2.50%,24.48,6.97,2.662,4.268,92.5
Zn3MoN4,mp-1246430,31,128.9,142,4.1,1.633,16.77,5.40%,17.3,7.23,2.217,3.28,100.3
Li2CdGeO4,icsd_020031,31,82.1,70,4.8,1.559,12.19,3.40%,20.54,8.22,2.447,4.207,88.2
Li2SiO3,icsd_100402,36,77.3,73,23.7,1.494,10.19,1.80%,18.8,9.57,5.06,7.083,123
MgSiN2,icsd_034614,33,130.3,173,12.7,1.549,10.82,2.20%,36.37,9.62,4.026,5.629,115.7
LiGe2N3,icsd_636887,36,126,122,6.9,1.589,11.42,7.50%,26.49,9.7,2.749,4.537,102.7
Zn3WN4,mp-1245967,31,127.4,143,5.5,1.633,12.67,5.10%,26.75,10.68,2.422,3.837,104.9
Al1N1,icsd_608626,186,132.9,193,7.7,1.603,10.63,-6.40%,24.15,10.79,4.072,5.669,87.8
Li3AsO4,icsd_075927,31,88.8,62,11.2,1.586,10.97,2.90%,29.01,12.6,4.052,6.32,96.5
LiSi2N3,icsd_034118,36,133.9,158,22.6,1.556,9.93,7.80%,37.64,12.78,5.036,6.563,130.2
Zn2PN3,icsd_422150,36,125.2,173,7.6,1.588,10.77,2.70%,24.78,13.76,2.546,4.195,117.5
