Composition,x,version,eg,avg eg,std eg
Al1-xBxN,0.056,v0,5.6102,5.603975,0.027118797
Al1-xBxN,0.056,v1,5.6208,,
Al1-xBxN,0.056,v2,5.564,,
Al1-xBxN,0.056,v3,5.6209,,
Al1-xBxN,0.111,v0,5.6579,5.6183,0.06803602
Al1-xBxN,0.111,v1,5.5996,,
Al1-xBxN,0.111,v2,5.6845,,
Al1-xBxN,0.111,v3,5.5312,,
Al1-xBxN,0.167,v0,5.5719,5.623225,0.049418038
Al1-xBxN,0.167,v1,5.6101,,
Al1-xBxN,0.167,v2,5.6205,,
Al1-xBxN,0.167,v3,5.6904,,
Al1-xBxN,0.222,v0,5.2503,5.155125,0.408009006
Al1-xBxN,0.222,v1,5.6775,,
Al1-xBxN,0.222,v2,4.7306,,
Al1-xBxN,0.222,v3,4.9621,,
Al1-xBxN,0.278,v0,5.1075,4.935925,0.326028183
Al1-xBxN,0.278,v1,5.3004,,
Al1-xBxN,0.278,v2,4.7483,,
Al1-xBxN,0.278,v3,4.5875,,
Al1-xBxN,0.333,v0,4.8955,4.881475,0.223127652
Al1-xBxN,0.333,v1,5.1878,,
Al1-xBxN,0.333,v2,4.6765,,
Al1-xBxN,0.333,v3,4.7661,,
Al1-xBxN,0.389,v0,5.6402,5.354925,0.311121942
Al1-xBxN,0.389,v1,5.2694,,
Al1-xBxN,0.389,v2,5.5565,,
Al1-xBxN,0.389,v3,4.9536,,
Al1-xBxN,0.444,v0,5.1891,5.0039,0.322458059
Al1-xBxN,0.444,v1,4.7535,,
Al1-xBxN,0.444,v2,5.3627,,
Al1-xBxN,0.444,v3,4.7103,,
Al1-xBxN,0.556,v0,5.1771,5.378975,0.483910807
Al1-xBxN,0.556,v1,5.074,,
Al1-xBxN,0.556,v2,5.1632,,
Al1-xBxN,0.556,v3,6.1016,,
Al1-xBxN,0.5,v0,5.7211,5.033875,0.477900857
Al1-xBxN,0.5,v1,4.9742,,
Al1-xBxN,0.5,v2,4.6413,,
Al1-xBxN,0.5,v3,4.7989,,
Al1-xScxN,0.111,v0,5.3832,5.36405,0.039530621
Al1-xScxN,0.111,v1,5.3288,,
Al1-xScxN,0.111,v2,5.4105,,
Al1-xScxN,0.111,v3,5.3337,,
Al1-xScxN,0.22,v0,5.1125,5.0549,0.127932326
Al1-xScxN,0.22,v1,5.0686,,
Al1-xScxN,0.22,v2,4.9937,,
Al1-xScxN,0.22,v3,4.9937,,
Al1-xScxN,0.28,v0,,4.962675,0.063979495
Al1-xScxN,0.28,v1,,,
Al1-xScxN,0.28,v2,,,
Al1-xScxN,0.28,v3,,,
Al1-xScxN,0.333,v0,4.7681,4.7957,0.165150626
Al1-xScxN,0.333,v1,4.7113,,
Al1-xScxN,0.333,v2,4.6244,,
Al1-xScxN,0.333,v3,4.865,,
Al1-xScxN,0.36,v0,,4.635925,0.08886538
Al1-xScxN,0.36,v1,,,
Al1-xScxN,0.36,v2,,,
Al1-xScxN,0.36,v3,,,
Al1-xScxN,0.444,v0,4.0006,4.062725,0.060544054
Al1-xScxN,0.444,v1,4.0799,,
Al1-xScxN,0.444,v2,4.0312,,
Al1-xScxN,0.444,v3,4.1392,,
Al1-xScxN,0.556,v0,3.3463,3.134625,0.553792424
Al1-xScxN,0.556,v1,2.4591,,
