base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
AlN,B,0.056,v0,Al,1,N-Al-N,1-2,107.8945
AlN,B,0.056,v0,Al,1,N-Al-N,1-3,110.1164
AlN,B,0.056,v0,Al,1,N-Al-N,1-4,109.8457
AlN,B,0.056,v0,Al,1,N-Al-N,2-3,106.0701
AlN,B,0.056,v0,Al,1,N-Al-N,2-4,105.782
AlN,B,0.056,v0,Al,1,N-Al-N,3-4,116.6521
AlN,B,0.056,v0,Al,2,N-Al-N,1-2,111.1735
AlN,B,0.056,v0,Al,2,N-Al-N,1-3,111.4426
AlN,B,0.056,v0,Al,2,N-Al-N,1-4,107.6277
AlN,B,0.056,v0,Al,2,N-Al-N,2-3,111.4426
AlN,B,0.056,v0,Al,2,N-Al-N,2-4,107.6277
AlN,B,0.056,v0,Al,2,N-Al-N,3-4,107.2954
AlN,B,0.056,v0,Al,3,N-Al-N,1-2,110.6417
AlN,B,0.056,v0,Al,3,N-Al-N,1-3,110.6008
AlN,B,0.056,v0,Al,3,N-Al-N,1-4,107.6208
AlN,B,0.056,v0,Al,3,N-Al-N,2-3,112.8853
AlN,B,0.056,v0,Al,3,N-Al-N,2-4,106.8063
AlN,B,0.056,v0,Al,3,N-Al-N,3-4,108.0409
AlN,B,0.056,v0,Al,4,N-Al-N,1-2,108.2419
AlN,B,0.056,v0,Al,4,N-Al-N,1-3,109.6274
AlN,B,0.056,v0,Al,4,N-Al-N,1-4,109.8907
AlN,B,0.056,v0,Al,4,N-Al-N,2-3,105.1283
AlN,B,0.056,v0,Al,4,N-Al-N,2-4,105.3196
AlN,B,0.056,v0,Al,4,N-Al-N,3-4,118.0647
AlN,B,0.056,v0,Al,5,N-Al-N,1-2,111.3978
AlN,B,0.056,v0,Al,5,N-Al-N,1-3,110.9825
AlN,B,0.056,v0,Al,5,N-Al-N,1-4,107.9237
AlN,B,0.056,v0,Al,5,N-Al-N,2-3,110.9825
AlN,B,0.056,v0,Al,5,N-Al-N,2-4,107.9237
AlN,B,0.056,v0,Al,5,N-Al-N,3-4,107.4494
AlN,B,0.056,v0,Al,6,N-Al-N,1-2,110.9041
AlN,B,0.056,v0,Al,6,N-Al-N,1-3,111.0121
AlN,B,0.056,v0,Al,6,N-Al-N,1-4,107.0285
AlN,B,0.056,v0,Al,6,N-Al-N,2-3,111.2899
AlN,B,0.056,v0,Al,6,N-Al-N,2-4,109.0029
AlN,B,0.056,v0,Al,6,N-Al-N,3-4,107.4268
AlN,B,0.056,v0,Al,7,N-Al-N,1-2,110.6417
AlN,B,0.056,v0,Al,7,N-Al-N,1-3,110.6007
AlN,B,0.056,v0,Al,7,N-Al-N,1-4,107.6208
AlN,B,0.056,v0,Al,7,N-Al-N,2-3,112.8854
AlN,B,0.056,v0,Al,7,N-Al-N,2-4,106.8063
AlN,B,0.056,v0,Al,7,N-Al-N,3-4,108.0408
AlN,B,0.056,v0,Al,8,N-Al-N,1-2,112.094
AlN,B,0.056,v0,Al,8,N-Al-N,1-3,112.094
AlN,B,0.056,v0,Al,8,N-Al-N,1-4,107.2642
AlN,B,0.056,v0,Al,8,N-Al-N,2-3,110.8612
AlN,B,0.056,v0,Al,8,N-Al-N,2-4,107.1011
AlN,B,0.056,v0,Al,8,N-Al-N,3-4,107.101
AlN,B,0.056,v0,Al,9,N-Al-N,1-2,107.8945
AlN,B,0.056,v0,Al,9,N-Al-N,1-3,110.1165
AlN,B,0.056,v0,Al,9,N-Al-N,1-4,109.8458
AlN,B,0.056,v0,Al,9,N-Al-N,2-3,106.0701
AlN,B,0.056,v0,Al,9,N-Al-N,2-4,105.782
AlN,B,0.056,v0,Al,9,N-Al-N,3-4,116.6521
AlN,B,0.056,v0,Al,10,N-Al-N,1-2,110.9042
AlN,B,0.056,v0,Al,10,N-Al-N,1-3,111.0121
AlN,B,0.056,v0,Al,10,N-Al-N,1-4,107.0285
AlN,B,0.056,v0,Al,10,N-Al-N,2-3,111.2898
AlN,B,0.056,v0,Al,10,N-Al-N,2-4,109.0029
AlN,B,0.056,v0,Al,10,N-Al-N,3-4,107.4268
AlN,B,0.056,v0,Al,11,N-Al-N,1-2,112.2288
AlN,B,0.056,v0,Al,11,N-Al-N,1-3,112.2288
AlN,B,0.056,v0,Al,11,N-Al-N,1-4,107.0652
AlN,B,0.056,v0,Al,11,N-Al-N,2-3,111.3426
AlN,B,0.056,v0,Al,11,N-Al-N,2-4,106.7858
AlN,B,0.056,v0,Al,11,N-Al-N,3-4,106.7858
AlN,B,0.056,v0,Al,12,N-Al-N,1-2,108.2419
AlN,B,0.056,v0,Al,12,N-Al-N,1-3,109.6274
AlN,B,0.056,v0,Al,12,N-Al-N,1-4,109.8906
AlN,B,0.056,v0,Al,12,N-Al-N,2-3,105.1283
AlN,B,0.056,v0,Al,12,N-Al-N,2-4,105.3196
AlN,B,0.056,v0,Al,12,N-Al-N,3-4,118.0647
AlN,B,0.056,v0,Al,13,N-Al-N,1-2,110.7925
AlN,B,0.056,v0,Al,13,N-Al-N,1-3,111.1124
AlN,B,0.056,v0,Al,13,N-Al-N,1-4,108.0618
AlN,B,0.056,v0,Al,13,N-Al-N,2-3,111.1124
AlN,B,0.056,v0,Al,13,N-Al-N,2-4,108.0619
AlN,B,0.056,v0,Al,13,N-Al-N,3-4,107.5448
AlN,B,0.056,v0,Al,14,N-Al-N,1-2,110.7233
AlN,B,0.056,v0,Al,14,N-Al-N,1-3,110.7195
AlN,B,0.056,v0,Al,14,N-Al-N,1-4,107.571
AlN,B,0.056,v0,Al,14,N-Al-N,2-3,111.2752
AlN,B,0.056,v0,Al,14,N-Al-N,2-4,107.2058
AlN,B,0.056,v0,Al,14,N-Al-N,3-4,109.1995
AlN,B,0.056,v0,Al,15,N-Al-N,1-2,110.1467
AlN,B,0.056,v0,Al,15,N-Al-N,1-3,110.5834
