base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
AlN,B,0.056,v0,Al,1,N,Al-N,1,1.875024
AlN,B,0.056,v0,Al,1,N,Al-N,2,1.901281
AlN,B,0.056,v0,Al,1,N,Al-N,3,1.914359
AlN,B,0.056,v0,Al,1,N,Al-N,4,1.938385
AlN,B,0.056,v0,Al,2,N,Al-N,1,1.884468
AlN,B,0.056,v0,Al,2,N,Al-N,2,1.884468
AlN,B,0.056,v0,Al,2,N,Al-N,3,1.884763
AlN,B,0.056,v0,Al,2,N,Al-N,4,1.901861
AlN,B,0.056,v0,Al,3,N,Al-N,1,1.883463
AlN,B,0.056,v0,Al,3,N,Al-N,2,1.892356
AlN,B,0.056,v0,Al,3,N,Al-N,3,1.895603
AlN,B,0.056,v0,Al,3,N,Al-N,4,1.917445
AlN,B,0.056,v0,Al,4,N,Al-N,1,1.874656
AlN,B,0.056,v0,Al,4,N,Al-N,2,1.895308
AlN,B,0.056,v0,Al,4,N,Al-N,3,1.927826
AlN,B,0.056,v0,Al,4,N,Al-N,4,1.945905
AlN,B,0.056,v0,Al,5,N,Al-N,1,1.886875
AlN,B,0.056,v0,Al,5,N,Al-N,2,1.886875
AlN,B,0.056,v0,Al,5,N,Al-N,3,1.8878
AlN,B,0.056,v0,Al,5,N,Al-N,4,1.902603
AlN,B,0.056,v0,Al,6,N,Al-N,1,1.885353
AlN,B,0.056,v0,Al,6,N,Al-N,2,1.888445
AlN,B,0.056,v0,Al,6,N,Al-N,3,1.888631
AlN,B,0.056,v0,Al,6,N,Al-N,4,1.924038
AlN,B,0.056,v0,Al,7,N,Al-N,1,1.883464
AlN,B,0.056,v0,Al,7,N,Al-N,2,1.892356
AlN,B,0.056,v0,Al,7,N,Al-N,3,1.895604
AlN,B,0.056,v0,Al,7,N,Al-N,4,1.917445
AlN,B,0.056,v0,Al,8,N,Al-N,1,1.890211
AlN,B,0.056,v0,Al,8,N,Al-N,2,1.891356
AlN,B,0.056,v0,Al,8,N,Al-N,3,1.891357
AlN,B,0.056,v0,Al,8,N,Al-N,4,1.893713
AlN,B,0.056,v0,Al,9,N,Al-N,1,1.875023
AlN,B,0.056,v0,Al,9,N,Al-N,2,1.901281
AlN,B,0.056,v0,Al,9,N,Al-N,3,1.914358
AlN,B,0.056,v0,Al,9,N,Al-N,4,1.938386
AlN,B,0.056,v0,Al,10,N,Al-N,1,1.885353
AlN,B,0.056,v0,Al,10,N,Al-N,2,1.888444
AlN,B,0.056,v0,Al,10,N,Al-N,3,1.888631
AlN,B,0.056,v0,Al,10,N,Al-N,4,1.924038
AlN,B,0.056,v0,Al,11,N,Al-N,1,1.887224
AlN,B,0.056,v0,Al,11,N,Al-N,2,1.889231
AlN,B,0.056,v0,Al,11,N,Al-N,3,1.889232
AlN,B,0.056,v0,Al,11,N,Al-N,4,1.893864
AlN,B,0.056,v0,Al,12,N,Al-N,1,1.874655
AlN,B,0.056,v0,Al,12,N,Al-N,2,1.895308
AlN,B,0.056,v0,Al,12,N,Al-N,3,1.927826
AlN,B,0.056,v0,Al,12,N,Al-N,4,1.945907
AlN,B,0.056,v0,Al,13,N,Al-N,1,1.879879
AlN,B,0.056,v0,Al,13,N,Al-N,2,1.879881
AlN,B,0.056,v0,Al,13,N,Al-N,3,1.88121
AlN,B,0.056,v0,Al,13,N,Al-N,4,1.909364
AlN,B,0.056,v0,Al,14,N,Al-N,1,1.884993
AlN,B,0.056,v0,Al,14,N,Al-N,2,1.886587
AlN,B,0.056,v0,Al,14,N,Al-N,3,1.887831
AlN,B,0.056,v0,Al,14,N,Al-N,4,1.920051
AlN,B,0.056,v0,Al,15,N,Al-N,1,1.876662
AlN,B,0.056,v0,Al,15,N,Al-N,2,1.895275
AlN,B,0.056,v0,Al,15,N,Al-N,3,1.898491
AlN,B,0.056,v0,Al,15,N,Al-N,4,1.955191
AlN,B,0.056,v0,Al,16,N,Al-N,1,1.873159
AlN,B,0.056,v0,Al,16,N,Al-N,2,1.913654
AlN,B,0.056,v0,Al,16,N,Al-N,3,1.917062
AlN,B,0.056,v0,Al,16,N,Al-N,4,1.955106
AlN,B,0.056,v0,Al,17,N,Al-N,1,1.884993
AlN,B,0.056,v0,Al,17,N,Al-N,2,1.886588
AlN,B,0.056,v0,Al,17,N,Al-N,3,1.887831
AlN,B,0.056,v0,Al,17,N,Al-N,4,1.92005
AlN,B,0.056,v0,Al,18,N,Al-N,1,1.882823
AlN,B,0.056,v0,Al,18,N,Al-N,2,1.889614
AlN,B,0.056,v0,Al,18,N,Al-N,3,1.889615
AlN,B,0.056,v0,Al,18,N,Al-N,4,1.900299
AlN,B,0.056,v0,Al,19,N,Al-N,1,1.879993
AlN,B,0.056,v0,Al,19,N,Al-N,2,1.888006
AlN,B,0.056,v0,Al,19,N,Al-N,3,1.919401
AlN,B,0.056,v0,Al,19,N,Al-N,4,1.935903
AlN,B,0.056,v0,Al,20,N,Al-N,1,1.873159
AlN,B,0.056,v0,Al,20,N,Al-N,2,1.913656
AlN,B,0.056,v0,Al,20,N,Al-N,3,1.917063
AlN,B,0.056,v0,Al,20,N,Al-N,4,1.955107
AlN,B,0.056,v0,Al,21,N,Al-N,1,1.874517
AlN,B,0.056,v0,Al,21,N,Al-N,2,1.874517
AlN,B,0.056,v0,Al,21,N,Al-N,3,1.894059
AlN,B,0.056,v0,Al,21,N,Al-N,4,1.910053
AlN,B,0.056,v0,Al,22,N,Al-N,1,1.876662
AlN,B,0.056,v0,Al,22,N,Al-N,2,1.895276
AlN,B,0.056,v0,Al,22,N,Al-N,3,1.89849
AlN,B,0.056,v0,Al,22,N,Al-N,4,1.95519
AlN,B,0.056,v0,Al,23,N,Al-N,1,1.879993
AlN,B,0.056,v0,Al,23,N,Al-N,2,1.888005
AlN,B,0.056,v0,Al,23,N,Al-N,3,1.919401
AlN,B,0.056,v0,Al,23,N,Al-N,4,1.935902
AlN,B,0.056,v0,Al,24,N,Al-N,1,1.872268
AlN,B,0.056,v0,Al,24,N,Al-N,2,1.897149
AlN,B,0.056,v0,Al,24,N,Al-N,3,1.920081
AlN,B,0.056,v0,Al,24,N,Al-N,4,1.942255
AlN,B,0.056,v0,Al,25,N,Al-N,1,1.879129
AlN,B,0.056,v0,Al,25,N,Al-N,2,1.882824
AlN,B,0.056,v0,Al,25,N,Al-N,3,1.928885
AlN,B,0.056,v0,Al,25,N,Al-N,4,1.931959
AlN,B,0.056,v0,Al,26,N,Al-N,1,1.864054
AlN,B,0.056,v0,Al,26,N,Al-N,2,1.889548
