base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
AlN,La,0.056,v0,Al,1,N-Al-N,1-2,103.8075
AlN,La,0.056,v0,Al,1,N-Al-N,1-3,114.8112
AlN,La,0.056,v0,Al,1,N-Al-N,1-4,110.968
AlN,La,0.056,v0,Al,1,N-Al-N,2-3,112.8817
AlN,La,0.056,v0,Al,1,N-Al-N,2-4,108.6522
AlN,La,0.056,v0,Al,1,N-Al-N,3-4,105.7004
AlN,La,0.056,v0,Al,2,N-Al-N,1-2,107.632
AlN,La,0.056,v0,Al,2,N-Al-N,1-3,111.687
AlN,La,0.056,v0,Al,2,N-Al-N,1-4,111.6871
AlN,La,0.056,v0,Al,2,N-Al-N,2-3,107.9344
AlN,La,0.056,v0,Al,2,N-Al-N,2-4,107.9344
AlN,La,0.056,v0,Al,2,N-Al-N,3-4,109.7979
AlN,La,0.056,v0,Al,3,N-Al-N,1-2,106.1472
AlN,La,0.056,v0,Al,3,N-Al-N,1-3,109.7548
AlN,La,0.056,v0,Al,3,N-Al-N,1-4,108.4362
AlN,La,0.056,v0,Al,3,N-Al-N,2-3,107.1212
AlN,La,0.056,v0,Al,3,N-Al-N,2-4,112.8057
AlN,La,0.056,v0,Al,3,N-Al-N,3-4,112.3752
AlN,La,0.056,v0,Al,4,N-Al-N,1-2,100.0431
AlN,La,0.056,v0,Al,4,N-Al-N,1-3,110.6856
AlN,La,0.056,v0,Al,4,N-Al-N,1-4,114.2498
AlN,La,0.056,v0,Al,4,N-Al-N,2-3,111.8926
AlN,La,0.056,v0,Al,4,N-Al-N,2-4,113.9032
AlN,La,0.056,v0,Al,4,N-Al-N,3-4,106.1747
AlN,La,0.056,v0,Al,5,N-Al-N,1-2,112.9919
AlN,La,0.056,v0,Al,5,N-Al-N,1-3,112.9918
AlN,La,0.056,v0,Al,5,N-Al-N,1-4,105.7173
AlN,La,0.056,v0,Al,5,N-Al-N,2-3,109.3002
AlN,La,0.056,v0,Al,5,N-Al-N,2-4,107.7611
AlN,La,0.056,v0,Al,5,N-Al-N,3-4,107.761
AlN,La,0.056,v0,Al,6,N-Al-N,1-2,104.6524
AlN,La,0.056,v0,Al,6,N-Al-N,1-3,108.1614
AlN,La,0.056,v0,Al,6,N-Al-N,1-4,108.702
AlN,La,0.056,v0,Al,6,N-Al-N,2-3,112.2025
AlN,La,0.056,v0,Al,6,N-Al-N,2-4,111.3185
AlN,La,0.056,v0,Al,6,N-Al-N,3-4,111.472
AlN,La,0.056,v0,Al,7,N-Al-N,1-2,106.1472
AlN,La,0.056,v0,Al,7,N-Al-N,1-3,109.7548
AlN,La,0.056,v0,Al,7,N-Al-N,1-4,108.4362
AlN,La,0.056,v0,Al,7,N-Al-N,2-3,107.1212
AlN,La,0.056,v0,Al,7,N-Al-N,2-4,112.8055
AlN,La,0.056,v0,Al,7,N-Al-N,3-4,112.3752
AlN,La,0.056,v0,Al,8,N-Al-N,1-2,113.6372
AlN,La,0.056,v0,Al,8,N-Al-N,1-3,109.9245
AlN,La,0.056,v0,Al,8,N-Al-N,1-4,107.5134
AlN,La,0.056,v0,Al,8,N-Al-N,2-3,109.9247
AlN,La,0.056,v0,Al,8,N-Al-N,2-4,107.5135
AlN,La,0.056,v0,Al,8,N-Al-N,3-4,108.1316
