base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
AlN,La,0.056,v0,Al,1,N,Al-N,1,1.824145
AlN,La,0.056,v0,Al,1,N,Al-N,2,1.825744
AlN,La,0.056,v0,Al,1,N,Al-N,3,1.890485
AlN,La,0.056,v0,Al,1,N,Al-N,4,1.89934
AlN,La,0.056,v0,Al,2,N,Al-N,1,1.877811
AlN,La,0.056,v0,Al,2,N,Al-N,2,1.880566
AlN,La,0.056,v0,Al,2,N,Al-N,3,1.885333
AlN,La,0.056,v0,Al,2,N,Al-N,4,1.885336
AlN,La,0.056,v0,Al,3,N,Al-N,1,1.836699
AlN,La,0.056,v0,Al,3,N,Al-N,2,1.841584
AlN,La,0.056,v0,Al,3,N,Al-N,3,1.857487
AlN,La,0.056,v0,Al,3,N,Al-N,4,1.882368
AlN,La,0.056,v0,Al,4,N,Al-N,1,1.813054
AlN,La,0.056,v0,Al,4,N,Al-N,2,1.814168
AlN,La,0.056,v0,Al,4,N,Al-N,3,1.886483
AlN,La,0.056,v0,Al,4,N,Al-N,4,1.890807
AlN,La,0.056,v0,Al,5,N,Al-N,1,1.867023
AlN,La,0.056,v0,Al,5,N,Al-N,2,1.870056
AlN,La,0.056,v0,Al,5,N,Al-N,3,1.87006
AlN,La,0.056,v0,Al,5,N,Al-N,4,1.881726
AlN,La,0.056,v0,Al,6,N,Al-N,1,1.844936
AlN,La,0.056,v0,Al,6,N,Al-N,2,1.856155
AlN,La,0.056,v0,Al,6,N,Al-N,3,1.871965
AlN,La,0.056,v0,Al,6,N,Al-N,4,1.893211
AlN,La,0.056,v0,Al,7,N,Al-N,1,1.836697
AlN,La,0.056,v0,Al,7,N,Al-N,2,1.841586
AlN,La,0.056,v0,Al,7,N,Al-N,3,1.857488
AlN,La,0.056,v0,Al,7,N,Al-N,4,1.882367
AlN,La,0.056,v0,Al,8,N,Al-N,1,1.850206
AlN,La,0.056,v0,Al,8,N,Al-N,2,1.850208
AlN,La,0.056,v0,Al,8,N,Al-N,3,1.859953
AlN,La,0.056,v0,Al,8,N,Al-N,4,1.900236
AlN,La,0.056,v0,Al,9,N,Al-N,1,1.824149
AlN,La,0.056,v0,Al,9,N,Al-N,2,1.825743
AlN,La,0.056,v0,Al,9,N,Al-N,3,1.890488
AlN,La,0.056,v0,Al,9,N,Al-N,4,1.89934
AlN,La,0.056,v0,Al,10,N,Al-N,1,1.844937
AlN,La,0.056,v0,Al,10,N,Al-N,2,1.856155
AlN,La,0.056,v0,Al,10,N,Al-N,3,1.871968
AlN,La,0.056,v0,Al,10,N,Al-N,4,1.893208
AlN,La,0.056,v0,Al,11,N,Al-N,1,1.867089
AlN,La,0.056,v0,Al,11,N,Al-N,2,1.86709
AlN,La,0.056,v0,Al,11,N,Al-N,3,1.868706
AlN,La,0.056,v0,Al,11,N,Al-N,4,1.897535
AlN,La,0.056,v0,Al,12,N,Al-N,1,1.813054
AlN,La,0.056,v0,Al,12,N,Al-N,2,1.814169
AlN,La,0.056,v0,Al,12,N,Al-N,3,1.886483
AlN,La,0.056,v0,Al,12,N,Al-N,4,1.890802
