base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
Sc,Sc,0.0,v0,Al,1,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,1,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,1,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,1,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,1,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,1,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,2,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,2,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,2,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,2,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,2,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,2,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,3,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,3,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,3,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,3,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,3,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,3,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,4,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,4,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,4,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,4,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,4,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,4,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,5,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,5,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,5,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,5,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,5,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,5,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,6,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,6,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,6,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,6,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,6,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,6,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,7,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,7,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,7,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,7,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,7,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,7,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,8,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,8,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,8,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,8,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,8,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,8,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,9,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,9,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,9,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,9,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,9,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,9,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,10,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,10,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,10,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,10,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,10,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,10,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,11,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,11,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,11,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,11,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,11,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,11,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,12,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,12,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,12,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,12,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,12,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,12,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,13,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,13,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,13,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,13,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,13,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,13,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,14,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,14,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,14,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,14,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,14,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,14,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,15,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,15,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,15,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,15,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,15,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,15,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,16,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,16,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,16,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,16,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,16,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,16,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,17,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,17,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,17,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,17,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,17,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,17,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,18,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,18,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,18,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,18,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,18,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,18,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,19,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,19,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,19,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,19,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,19,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,19,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,20,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,20,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,20,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,20,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,20,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,20,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,21,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,21,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,21,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,21,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,21,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,21,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,22,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,22,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,22,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,22,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,22,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,22,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,23,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,23,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,23,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,23,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,23,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,23,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,24,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,24,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,24,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,24,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,24,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,24,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,25,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,25,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,25,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,25,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,25,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,25,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,26,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,26,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,26,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,26,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,26,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,26,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,27,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,27,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,27,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,27,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,27,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,27,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,28,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,28,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,28,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,28,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,28,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,28,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,29,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,29,N-Al-N,1-3,110.7191
Sc,Sc,0.0,v0,Al,29,N-Al-N,1-4,108.1883
Sc,Sc,0.0,v0,Al,29,N-Al-N,2-3,110.7191
Sc,Sc,0.0,v0,Al,29,N-Al-N,2-4,108.1883
Sc,Sc,0.0,v0,Al,29,N-Al-N,3-4,108.188
Sc,Sc,0.0,v0,Al,30,N-Al-N,1-2,110.7314
Sc,Sc,0.0,v0,Al,30,N-Al-N,1-3,110.7191
