base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
Sc,Sc,0.0,v0,Al,1,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,1,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,1,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,1,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,2,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,2,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,2,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,2,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,3,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,3,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,3,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,3,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,4,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,4,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,4,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,4,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,5,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,5,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,5,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,5,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,6,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,6,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,6,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,6,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,7,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,7,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,7,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,7,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,8,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,8,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,8,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,8,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,9,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,9,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,9,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,9,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,10,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,10,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,10,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,10,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,11,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,11,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,11,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,11,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,12,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,12,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,12,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,12,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,13,N,Al-N,1,1.901191
