base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
Sc,Sc,0.111,v0,Al,1,4,88.89
Sc,Sc,0.111,v0,Al,2,4,88.89
Sc,Sc,0.111,v0,Al,3,4,88.89
Sc,Sc,0.111,v0,Al,4,4,88.89
Sc,Sc,0.111,v0,Al,5,4,88.89
Sc,Sc,0.111,v0,Al,6,4,88.89
Sc,Sc,0.111,v0,Al,7,4,88.89
Sc,Sc,0.111,v0,Al,8,4,88.89
Sc,Sc,0.111,v0,Al,9,4,88.89
Sc,Sc,0.111,v0,Al,10,4,88.89
Sc,Sc,0.111,v0,Al,11,4,88.89
Sc,Sc,0.111,v0,Al,12,4,88.89
Sc,Sc,0.111,v0,Al,13,4,88.89
Sc,Sc,0.111,v0,Al,14,4,88.89
Sc,Sc,0.111,v0,Al,15,4,88.89
Sc,Sc,0.111,v0,Al,16,4,88.89
Sc,Sc,0.111,v0,Al,17,4,88.89
Sc,Sc,0.111,v0,Al,18,4,88.89
Sc,Sc,0.111,v0,Al,19,4,88.89
Sc,Sc,0.111,v0,Al,20,4,88.89
Sc,Sc,0.111,v0,Al,21,4,88.89
Sc,Sc,0.111,v0,Al,22,4,88.89
Sc,Sc,0.111,v0,Al,23,4,88.89
Sc,Sc,0.111,v0,Al,24,4,88.89
Sc,Sc,0.111,v0,Al,25,4,88.89
Sc,Sc,0.111,v0,Al,26,4,88.89
Sc,Sc,0.111,v0,Al,27,4,88.89
Sc,Sc,0.111,v0,Al,28,4,88.89
Sc,Sc,0.111,v0,Al,29,4,88.89
Sc,Sc,0.111,v0,Al,30,4,88.89
Sc,Sc,0.111,v0,Al,31,4,88.89
Sc,Sc,0.111,v0,Al,32,4,88.89
Sc,Sc,0.111,v0,Sc,33,4,11.11
Sc,Sc,0.111,v0,Sc,34,4,11.11
Sc,Sc,0.111,v0,Sc,35,4,11.11
Sc,Sc,0.111,v0,Sc,36,4,11.11
Sc,Sc,0.111,v1,Al,1,4,88.89
Sc,Sc,0.111,v1,Al,2,4,88.89
Sc,Sc,0.111,v1,Al,3,4,88.89
Sc,Sc,0.111,v1,Al,4,4,88.89
Sc,Sc,0.111,v1,Al,5,4,88.89
Sc,Sc,0.111,v1,Al,6,4,88.89
Sc,Sc,0.111,v1,Al,7,4,88.89
Sc,Sc,0.111,v1,Al,8,4,88.89
Sc,Sc,0.111,v1,Al,9,4,88.89
Sc,Sc,0.111,v1,Al,10,4,88.89
Sc,Sc,0.111,v1,Al,11,4,88.89
Sc,Sc,0.111,v1,Al,12,4,88.89
Sc,Sc,0.111,v1,Al,13,4,88.89
Sc,Sc,0.111,v1,Al,14,4,88.89
Sc,Sc,0.111,v1,Al,15,4,88.89
Sc,Sc,0.111,v1,Al,16,4,88.89
Sc,Sc,0.111,v1,Al,17,4,88.89
Sc,Sc,0.111,v1,Al,18,4,88.89
Sc,Sc,0.111,v1,Al,19,4,88.89
Sc,Sc,0.111,v1,Al,20,4,88.89
Sc,Sc,0.111,v1,Al,21,4,88.89
Sc,Sc,0.111,v1,Al,22,4,88.89
Sc,Sc,0.111,v1,Al,23,4,88.89
Sc,Sc,0.111,v1,Al,24,4,88.89
Sc,Sc,0.111,v1,Al,25,4,88.89
Sc,Sc,0.111,v1,Al,26,4,88.89
Sc,Sc,0.111,v1,Al,27,4,88.89
Sc,Sc,0.111,v1,Al,28,4,88.89
Sc,Sc,0.111,v1,Al,29,4,88.89
Sc,Sc,0.111,v1,Al,30,4,88.89
Sc,Sc,0.111,v1,Al,31,4,88.89
Sc,Sc,0.111,v1,Al,32,4,88.89
Sc,Sc,0.111,v1,Sc,33,4,11.11
Sc,Sc,0.111,v1,Sc,34,4,11.11
Sc,Sc,0.111,v1,Sc,35,4,11.11
Sc,Sc,0.111,v1,Sc,36,4,11.11
Sc,Sc,0.111,v2,Sc,1,4,11.11
Sc,Sc,0.111,v2,Sc,2,4,11.11
Sc,Sc,0.111,v2,Sc,3,4,11.11
Sc,Sc,0.111,v2,Sc,4,4,11.11
Sc,Sc,0.111,v2,Al,5,4,88.89
Sc,Sc,0.111,v2,Al,6,4,88.89
Sc,Sc,0.111,v2,Al,7,4,88.89
Sc,Sc,0.111,v2,Al,8,4,88.89
Sc,Sc,0.111,v2,Al,9,4,88.89
Sc,Sc,0.111,v2,Al,10,4,88.89
Sc,Sc,0.111,v2,Al,11,4,88.89
Sc,Sc,0.111,v2,Al,12,4,88.89
