base_strc,alloy,x,version,cation,cation_no,angle_label,bond_angle_deg
AlN,Y,0.056,v0,Al,1,N-Al-N,104.7153
AlN,Y,0.056,v0,Al,1,N-Al-N,113.2973
AlN,Y,0.056,v0,Al,1,N-Al-N,109.2729
AlN,Y,0.056,v0,Al,1,N-Al-N,113.4651
AlN,Y,0.056,v0,Al,1,N-Al-N,109.4144
AlN,Y,0.056,v0,Al,1,N-Al-N,106.63
AlN,Y,0.056,v0,Al,2,N-Al-N,111.5051
AlN,Y,0.056,v0,Al,2,N-Al-N,111.505
AlN,Y,0.056,v0,Al,2,N-Al-N,107.6554
AlN,Y,0.056,v0,Al,2,N-Al-N,110.8919
AlN,Y,0.056,v0,Al,2,N-Al-N,107.5315
AlN,Y,0.056,v0,Al,2,N-Al-N,107.5315
AlN,Y,0.056,v0,Al,3,N-Al-N,106.4649
AlN,Y,0.056,v0,Al,3,N-Al-N,109.1109
AlN,Y,0.056,v0,Al,3,N-Al-N,107.6244
AlN,Y,0.056,v0,Al,3,N-Al-N,108.8556
AlN,Y,0.056,v0,Al,3,N-Al-N,112.3461
AlN,Y,0.056,v0,Al,3,N-Al-N,112.2295
AlN,Y,0.056,v0,Al,4,N-Al-N,101.9326
AlN,Y,0.056,v0,Al,4,N-Al-N,110.4896
AlN,Y,0.056,v0,Al,4,N-Al-N,113.6864
AlN,Y,0.056,v0,Al,4,N-Al-N,110.9249
AlN,Y,0.056,v0,Al,4,N-Al-N,113.3317
AlN,Y,0.056,v0,Al,4,N-Al-N,106.5433
AlN,Y,0.056,v0,Al,5,N-Al-N,112.1944
AlN,Y,0.056,v0,Al,5,N-Al-N,112.1943
AlN,Y,0.056,v0,Al,5,N-Al-N,106.755
AlN,Y,0.056,v0,Al,5,N-Al-N,111.3797
AlN,Y,0.056,v0,Al,5,N-Al-N,106.9603
AlN,Y,0.056,v0,Al,5,N-Al-N,106.9603
AlN,Y,0.056,v0,Al,6,N-Al-N,105.4783
AlN,Y,0.056,v0,Al,6,N-Al-N,107.6697
AlN,Y,0.056,v0,Al,6,N-Al-N,107.3923
AlN,Y,0.056,v0,Al,6,N-Al-N,112.0838
AlN,Y,0.056,v0,Al,6,N-Al-N,111.7417
AlN,Y,0.056,v0,Al,6,N-Al-N,112.0548
AlN,Y,0.056,v0,Al,7,N-Al-N,106.4649
AlN,Y,0.056,v0,Al,7,N-Al-N,109.111
AlN,Y,0.056,v0,Al,7,N-Al-N,107.6244
AlN,Y,0.056,v0,Al,7,N-Al-N,108.8556
AlN,Y,0.056,v0,Al,7,N-Al-N,112.3461
AlN,Y,0.056,v0,Al,7,N-Al-N,112.2296
AlN,Y,0.056,v0,Al,8,N-Al-N,112.364
AlN,Y,0.056,v0,Al,8,N-Al-N,110.8518
AlN,Y,0.056,v0,Al,8,N-Al-N,107.5964
AlN,Y,0.056,v0,Al,8,N-Al-N,110.8518
AlN,Y,0.056,v0,Al,8,N-Al-N,107.5964
AlN,Y,0.056,v0,Al,8,N-Al-N,107.3406
AlN,Y,0.056,v0,Al,9,N-Al-N,104.7153
AlN,Y,0.056,v0,Al,9,N-Al-N,113.2973
AlN,Y,0.056,v0,Al,9,N-Al-N,109.2729
AlN,Y,0.056,v0,Al,9,N-Al-N,113.465
AlN,Y,0.056,v0,Al,9,N-Al-N,109.4144
AlN,Y,0.056,v0,Al,9,N-Al-N,106.63
AlN,Y,0.056,v0,Al,10,N-Al-N,105.4783
AlN,Y,0.056,v0,Al,10,N-Al-N,107.6697
AlN,Y,0.056,v0,Al,10,N-Al-N,107.3924
AlN,Y,0.056,v0,Al,10,N-Al-N,112.0838
AlN,Y,0.056,v0,Al,10,N-Al-N,111.7416
AlN,Y,0.056,v0,Al,10,N-Al-N,112.0548
AlN,Y,0.056,v0,Al,11,N-Al-N,111.7205
AlN,Y,0.056,v0,Al,11,N-Al-N,110.2004
AlN,Y,0.056,v0,Al,11,N-Al-N,108.2514
AlN,Y,0.056,v0,Al,11,N-Al-N,110.2005
AlN,Y,0.056,v0,Al,11,N-Al-N,108.2514
AlN,Y,0.056,v0,Al,11,N-Al-N,108.106
AlN,Y,0.056,v0,Al,12,N-Al-N,101.9326
AlN,Y,0.056,v0,Al,12,N-Al-N,110.4897
AlN,Y,0.056,v0,Al,12,N-Al-N,113.6864
AlN,Y,0.056,v0,Al,12,N-Al-N,110.9249
AlN,Y,0.056,v0,Al,12,N-Al-N,113.3317
AlN,Y,0.056,v0,Al,12,N-Al-N,106.5433
AlN,Y,0.056,v0,Al,13,N-Al-N,107.1571
AlN,Y,0.056,v0,Al,13,N-Al-N,106.8065
AlN,Y,0.056,v0,Al,13,N-Al-N,106.8065
AlN,Y,0.056,v0,Al,13,N-Al-N,111.923
AlN,Y,0.056,v0,Al,13,N-Al-N,111.923
AlN,Y,0.056,v0,Al,13,N-Al-N,111.837
AlN,Y,0.056,v0,Al,14,N-Al-N,105.5232
AlN,Y,0.056,v0,Al,14,N-Al-N,107.5558
AlN,Y,0.056,v0,Al,14,N-Al-N,107.2219
AlN,Y,0.056,v0,Al,14,N-Al-N,111.6513
AlN,Y,0.056,v0,Al,14,N-Al-N,112.0704
AlN,Y,0.056,v0,Al,14,N-Al-N,112.3701
AlN,Y,0.056,v0,Al,15,N-Al-N,104.5099
AlN,Y,0.056,v0,Al,15,N-Al-N,104.2129
AlN,Y,0.056,v0,Al,15,N-Al-N,106.8845
AlN,Y,0.056,v0,Al,15,N-Al-N,116.2715
AlN,Y,0.056,v0,Al,15,N-Al-N,111.0926
AlN,Y,0.056,v0,Al,15,N-Al-N,112.817
AlN,Y,0.056,v0,Al,16,N-Al-N,106.4003
AlN,Y,0.056,v0,Al,16,N-Al-N,105.7699
AlN,Y,0.056,v0,Al,16,N-Al-N,114.1488
AlN,Y,0.056,v0,Al,16,N-Al-N,110.3516
AlN,Y,0.056,v0,Al,16,N-Al-N,111.4899
AlN,Y,0.056,v0,Al,16,N-Al-N,108.516
AlN,Y,0.056,v0,Al,17,N-Al-N,105.5232
AlN,Y,0.056,v0,Al,17,N-Al-N,107.5558
AlN,Y,0.056,v0,Al,17,N-Al-N,107.222
AlN,Y,0.056,v0,Al,17,N-Al-N,111.6513
AlN,Y,0.056,v0,Al,17,N-Al-N,112.0705
AlN,Y,0.056,v0,Al,17,N-Al-N,112.3701
AlN,Y,0.056,v0,Al,18,N-Al-N,109.0342
AlN,Y,0.056,v0,Al,18,N-Al-N,111.201
AlN,Y,0.056,v0,Al,18,N-Al-N,108.8436
AlN,Y,0.056,v0,Al,18,N-Al-N,111.201
AlN,Y,0.056,v0,Al,18,N-Al-N,108.8435
AlN,Y,0.056,v0,Al,18,N-Al-N,107.6534
AlN,Y,0.056,v0,Al,19,N-Al-N,103.0267
AlN,Y,0.056,v0,Al,19,N-Al-N,113.9679
AlN,Y,0.056,v0,Al,19,N-Al-N,110.509
AlN,Y,0.056,v0,Al,19,N-Al-N,112.1637
AlN,Y,0.056,v0,Al,19,N-Al-N,109.6901
AlN,Y,0.056,v0,Al,19,N-Al-N,107.4493
AlN,Y,0.056,v0,Al,20,N-Al-N,106.4003
AlN,Y,0.056,v0,Al,20,N-Al-N,105.7699
AlN,Y,0.056,v0,Al,20,N-Al-N,114.1488
AlN,Y,0.056,v0,Al,20,N-Al-N,110.3516
AlN,Y,0.056,v0,Al,20,N-Al-N,111.4899
AlN,Y,0.056,v0,Al,20,N-Al-N,108.5159
AlN,Y,0.056,v0,Al,21,N-Al-N,113.2227
AlN,Y,0.056,v0,Al,21,N-Al-N,113.2227
AlN,Y,0.056,v0,Al,21,N-Al-N,100.4908
AlN,Y,0.056,v0,Al,21,N-Al-N,111.6413
AlN,Y,0.056,v0,Al,21,N-Al-N,108.7641
AlN,Y,0.056,v0,Al,21,N-Al-N,108.7641
AlN,Y,0.056,v0,Al,22,N-Al-N,104.5099
AlN,Y,0.056,v0,Al,22,N-Al-N,104.2129
AlN,Y,0.056,v0,Al,22,N-Al-N,106.8845
AlN,Y,0.056,v0,Al,22,N-Al-N,116.2715
AlN,Y,0.056,v0,Al,22,N-Al-N,111.0926
AlN,Y,0.056,v0,Al,22,N-Al-N,112.817
AlN,Y,0.056,v0,Al,23,N-Al-N,103.0266
AlN,Y,0.056,v0,Al,23,N-Al-N,113.9679
AlN,Y,0.056,v0,Al,23,N-Al-N,110.509
AlN,Y,0.056,v0,Al,23,N-Al-N,112.1637
AlN,Y,0.056,v0,Al,23,N-Al-N,109.6901
AlN,Y,0.056,v0,Al,23,N-Al-N,107.4493
AlN,Y,0.056,v0,Al,24,N-Al-N,104.1415
AlN,Y,0.056,v0,Al,24,N-Al-N,113.9201
AlN,Y,0.056,v0,Al,24,N-Al-N,110.0311
AlN,Y,0.056,v0,Al,24,N-Al-N,113.4801
AlN,Y,0.056,v0,Al,24,N-Al-N,109.4398
AlN,Y,0.056,v0,Al,24,N-Al-N,105.8384
AlN,Y,0.056,v0,Al,25,N-Al-N,100.0595
AlN,Y,0.056,v0,Al,25,N-Al-N,110.1806
AlN,Y,0.056,v0,Al,25,N-Al-N,110.169
AlN,Y,0.056,v0,Al,25,N-Al-N,113.2208
AlN,Y,0.056,v0,Al,25,N-Al-N,112.3066
AlN,Y,0.056,v0,Al,25,N-Al-N,110.4619
AlN,Y,0.056,v0,Al,26,N-Al-N,118.0386
AlN,Y,0.056,v0,Al,26,N-Al-N,101.6549
AlN,Y,0.056,v0,Al,26,N-Al-N,113.6009
AlN,Y,0.056,v0,Al,26,N-Al-N,101.6549
AlN,Y,0.056,v0,Al,26,N-Al-N,113.6008
AlN,Y,0.056,v0,Al,26,N-Al-N,105.8346
AlN,Y,0.056,v0,Al,27,N-Al-N,104.5134
AlN,Y,0.056,v0,Al,27,N-Al-N,105.2806
AlN,Y,0.056,v0,Al,27,N-Al-N,116.7962
AlN,Y,0.056,v0,Al,27,N-Al-N,112.3149
AlN,Y,0.056,v0,Al,27,N-Al-N,114.9466
AlN,Y,0.056,v0,Al,27,N-Al-N,102.7805
AlN,Y,0.056,v0,Al,28,N-Al-N,104.1415
AlN,Y,0.056,v0,Al,28,N-Al-N,113.9201
AlN,Y,0.056,v0,Al,28,N-Al-N,110.0311
AlN,Y,0.056,v0,Al,28,N-Al-N,113.4801
AlN,Y,0.056,v0,Al,28,N-Al-N,109.4397
AlN,Y,0.056,v0,Al,28,N-Al-N,105.8384
AlN,Y,0.056,v0,Al,29,N-Al-N,108.0581
AlN,Y,0.056,v0,Al,29,N-Al-N,111.0889
AlN,Y,0.056,v0,Al,29,N-Al-N,111.0889
AlN,Y,0.056,v0,Al,29,N-Al-N,107.4082
AlN,Y,0.056,v0,Al,29,N-Al-N,107.4083
AlN,Y,0.056,v0,Al,29,N-Al-N,111.5817
AlN,Y,0.056,v0,Al,30,N-Al-N,106.2539
AlN,Y,0.056,v0,Al,30,N-Al-N,110.083
AlN,Y,0.056,v0,Al,30,N-Al-N,112.6983
AlN,Y,0.056,v0,Al,30,N-Al-N,108.2661
AlN,Y,0.056,v0,Al,30,N-Al-N,108.1794
