base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
AlN,Y,0.056,v0,Al,1,N,Al-N,1,1.830172
AlN,Y,0.056,v0,Al,1,N,Al-N,2,1.837596
AlN,Y,0.056,v0,Al,1,N,Al-N,3,1.888261
AlN,Y,0.056,v0,Al,1,N,Al-N,4,1.889789
AlN,Y,0.056,v0,Al,2,N,Al-N,1,1.877544
AlN,Y,0.056,v0,Al,2,N,Al-N,2,1.879693
AlN,Y,0.056,v0,Al,2,N,Al-N,3,1.879694
AlN,Y,0.056,v0,Al,2,N,Al-N,4,1.88308
AlN,Y,0.056,v0,Al,3,N,Al-N,1,1.854156
AlN,Y,0.056,v0,Al,3,N,Al-N,2,1.862054
AlN,Y,0.056,v0,Al,3,N,Al-N,3,1.868473
AlN,Y,0.056,v0,Al,3,N,Al-N,4,1.882206
AlN,Y,0.056,v0,Al,4,N,Al-N,1,1.823449
AlN,Y,0.056,v0,Al,4,N,Al-N,2,1.831188
AlN,Y,0.056,v0,Al,4,N,Al-N,3,1.88591
AlN,Y,0.056,v0,Al,4,N,Al-N,4,1.894632
AlN,Y,0.056,v0,Al,5,N,Al-N,1,1.873637
AlN,Y,0.056,v0,Al,5,N,Al-N,2,1.873946
AlN,Y,0.056,v0,Al,5,N,Al-N,3,1.873947
AlN,Y,0.056,v0,Al,5,N,Al-N,4,1.88378
AlN,Y,0.056,v0,Al,6,N,Al-N,1,1.859056
AlN,Y,0.056,v0,Al,6,N,Al-N,2,1.873795
AlN,Y,0.056,v0,Al,6,N,Al-N,3,1.874407
AlN,Y,0.056,v0,Al,6,N,Al-N,4,1.881775
AlN,Y,0.056,v0,Al,7,N,Al-N,1,1.854156
AlN,Y,0.056,v0,Al,7,N,Al-N,2,1.862054
AlN,Y,0.056,v0,Al,7,N,Al-N,3,1.868473
AlN,Y,0.056,v0,Al,7,N,Al-N,4,1.882206
AlN,Y,0.056,v0,Al,8,N,Al-N,1,1.865924
AlN,Y,0.056,v0,Al,8,N,Al-N,2,1.865924
AlN,Y,0.056,v0,Al,8,N,Al-N,3,1.871763
AlN,Y,0.056,v0,Al,8,N,Al-N,4,1.899712
AlN,Y,0.056,v0,Al,9,N,Al-N,1,1.830171
AlN,Y,0.056,v0,Al,9,N,Al-N,2,1.837596
AlN,Y,0.056,v0,Al,9,N,Al-N,3,1.888261
AlN,Y,0.056,v0,Al,9,N,Al-N,4,1.889789
AlN,Y,0.056,v0,Al,10,N,Al-N,1,1.859057
AlN,Y,0.056,v0,Al,10,N,Al-N,2,1.873795
AlN,Y,0.056,v0,Al,10,N,Al-N,3,1.874407
AlN,Y,0.056,v0,Al,10,N,Al-N,4,1.881775
AlN,Y,0.056,v0,Al,11,N,Al-N,1,1.872351
AlN,Y,0.056,v0,Al,11,N,Al-N,2,1.872351
AlN,Y,0.056,v0,Al,11,N,Al-N,3,1.873841
AlN,Y,0.056,v0,Al,11,N,Al-N,4,1.897837
AlN,Y,0.056,v0,Al,12,N,Al-N,1,1.823448
AlN,Y,0.056,v0,Al,12,N,Al-N,2,1.831187
AlN,Y,0.056,v0,Al,12,N,Al-N,3,1.88591
AlN,Y,0.056,v0,Al,12,N,Al-N,4,1.894632
AlN,Y,0.056,v0,Al,13,N,Al-N,1,1.872649
AlN,Y,0.056,v0,Al,13,N,Al-N,2,1.883449
AlN,Y,0.056,v0,Al,13,N,Al-N,3,1.884857
AlN,Y,0.056,v0,Al,13,N,Al-N,4,1.884858
AlN,Y,0.056,v0,Al,14,N,Al-N,1,1.860958
AlN,Y,0.056,v0,Al,14,N,Al-N,2,1.87155
AlN,Y,0.056,v0,Al,14,N,Al-N,3,1.874404
AlN,Y,0.056,v0,Al,14,N,Al-N,4,1.878607
AlN,Y,0.056,v0,Al,15,N,Al-N,1,1.838406
AlN,Y,0.056,v0,Al,15,N,Al-N,2,1.857061
AlN,Y,0.056,v0,Al,15,N,Al-N,3,1.860831
AlN,Y,0.056,v0,Al,15,N,Al-N,4,1.912547
AlN,Y,0.056,v0,Al,16,N,Al-N,1,1.809378
AlN,Y,0.056,v0,Al,16,N,Al-N,2,1.84511
AlN,Y,0.056,v0,Al,16,N,Al-N,3,1.887792
AlN,Y,0.056,v0,Al,16,N,Al-N,4,1.894861
AlN,Y,0.056,v0,Al,17,N,Al-N,1,1.860958
AlN,Y,0.056,v0,Al,17,N,Al-N,2,1.871551
AlN,Y,0.056,v0,Al,17,N,Al-N,3,1.874404
AlN,Y,0.056,v0,Al,17,N,Al-N,4,1.878606
AlN,Y,0.056,v0,Al,18,N,Al-N,1,1.873707
AlN,Y,0.056,v0,Al,18,N,Al-N,2,1.873707
AlN,Y,0.056,v0,Al,18,N,Al-N,3,1.881758
AlN,Y,0.056,v0,Al,18,N,Al-N,4,1.882351
AlN,Y,0.056,v0,Al,19,N,Al-N,1,1.820401
AlN,Y,0.056,v0,Al,19,N,Al-N,2,1.832049
AlN,Y,0.056,v0,Al,19,N,Al-N,3,1.881486
AlN,Y,0.056,v0,Al,19,N,Al-N,4,1.900835
AlN,Y,0.056,v0,Al,20,N,Al-N,1,1.809378
AlN,Y,0.056,v0,Al,20,N,Al-N,2,1.845109
AlN,Y,0.056,v0,Al,20,N,Al-N,3,1.887791
AlN,Y,0.056,v0,Al,20,N,Al-N,4,1.894861
AlN,Y,0.056,v0,Al,21,N,Al-N,1,1.854765
AlN,Y,0.056,v0,Al,21,N,Al-N,2,1.891762
AlN,Y,0.056,v0,Al,21,N,Al-N,3,1.891762
AlN,Y,0.056,v0,Al,21,N,Al-N,4,1.931951
AlN,Y,0.056,v0,Al,22,N,Al-N,1,1.838405
AlN,Y,0.056,v0,Al,22,N,Al-N,2,1.857061
AlN,Y,0.056,v0,Al,22,N,Al-N,3,1.860831
AlN,Y,0.056,v0,Al,22,N,Al-N,4,1.912548
AlN,Y,0.056,v0,Al,23,N,Al-N,1,1.820403
AlN,Y,0.056,v0,Al,23,N,Al-N,2,1.832049
AlN,Y,0.056,v0,Al,23,N,Al-N,3,1.881486
AlN,Y,0.056,v0,Al,23,N,Al-N,4,1.900834
AlN,Y,0.056,v0,Al,24,N,Al-N,1,1.825411
