base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
GaN,B,0.056,v0,Ga,1,N-Ga-N,1-2,109.5735
GaN,B,0.056,v0,Ga,1,N-Ga-N,1-3,107.8962
GaN,B,0.056,v0,Ga,1,N-Ga-N,1-4,108.4331
GaN,B,0.056,v0,Ga,1,N-Ga-N,2-3,105.8246
GaN,B,0.056,v0,Ga,1,N-Ga-N,2-4,106.4937
GaN,B,0.056,v0,Ga,1,N-Ga-N,3-4,118.3954
GaN,B,0.056,v0,Ga,2,N-Ga-N,1-2,108.367
GaN,B,0.056,v0,Ga,2,N-Ga-N,1-3,107.908
GaN,B,0.056,v0,Ga,2,N-Ga-N,1-4,107.9078
GaN,B,0.056,v0,Ga,2,N-Ga-N,2-3,111.1865
GaN,B,0.056,v0,Ga,2,N-Ga-N,2-4,111.1868
GaN,B,0.056,v0,Ga,2,N-Ga-N,3-4,110.1526
GaN,B,0.056,v0,Ga,3,N-Ga-N,1-2,109.6281
GaN,B,0.056,v0,Ga,3,N-Ga-N,1-3,109.6787
GaN,B,0.056,v0,Ga,3,N-Ga-N,1-4,108.3579
GaN,B,0.056,v0,Ga,3,N-Ga-N,2-3,109.9894
GaN,B,0.056,v0,Ga,3,N-Ga-N,2-4,110.4274
GaN,B,0.056,v0,Ga,3,N-Ga-N,3-4,108.7307
GaN,B,0.056,v0,Ga,4,N-Ga-N,1-2,109.2374
GaN,B,0.056,v0,Ga,4,N-Ga-N,1-3,108.5131
GaN,B,0.056,v0,Ga,4,N-Ga-N,1-4,108.3606
GaN,B,0.056,v0,Ga,4,N-Ga-N,2-3,106.9926
GaN,B,0.056,v0,Ga,4,N-Ga-N,2-4,106.7495
GaN,B,0.056,v0,Ga,4,N-Ga-N,3-4,116.8034
GaN,B,0.056,v0,Ga,5,N-Ga-N,1-2,108.4331
GaN,B,0.056,v0,Ga,5,N-Ga-N,1-3,108.1224
GaN,B,0.056,v0,Ga,5,N-Ga-N,1-4,108.1225
GaN,B,0.056,v0,Ga,5,N-Ga-N,2-3,111.1274
GaN,B,0.056,v0,Ga,5,N-Ga-N,2-4,111.1273
GaN,B,0.056,v0,Ga,5,N-Ga-N,3-4,109.8004
GaN,B,0.056,v0,Ga,6,N-Ga-N,1-2,109.2839
GaN,B,0.056,v0,Ga,6,N-Ga-N,1-3,109.2438
GaN,B,0.056,v0,Ga,6,N-Ga-N,1-4,108.9514
GaN,B,0.056,v0,Ga,6,N-Ga-N,2-3,111.7838
GaN,B,0.056,v0,Ga,6,N-Ga-N,2-4,107.9914
GaN,B,0.056,v0,Ga,6,N-Ga-N,3-4,109.538
GaN,B,0.056,v0,Ga,7,N-Ga-N,1-2,109.6282
GaN,B,0.056,v0,Ga,7,N-Ga-N,1-3,109.6789
GaN,B,0.056,v0,Ga,7,N-Ga-N,1-4,108.3578
GaN,B,0.056,v0,Ga,7,N-Ga-N,2-3,109.9892
GaN,B,0.056,v0,Ga,7,N-Ga-N,2-4,110.4271
GaN,B,0.056,v0,Ga,7,N-Ga-N,3-4,108.731
GaN,B,0.056,v0,Ga,8,N-Ga-N,1-2,110.355
GaN,B,0.056,v0,Ga,8,N-Ga-N,1-3,109.8254
GaN,B,0.056,v0,Ga,8,N-Ga-N,1-4,109.0991
GaN,B,0.056,v0,Ga,8,N-Ga-N,2-3,109.8252
GaN,B,0.056,v0,Ga,8,N-Ga-N,2-4,109.0992
GaN,B,0.056,v0,Ga,8,N-Ga-N,3-4,108.6041
GaN,B,0.056,v0,Ga,9,N-Ga-N,1-2,109.5735
GaN,B,0.056,v0,Ga,9,N-Ga-N,1-3,107.8958
GaN,B,0.056,v0,Ga,9,N-Ga-N,1-4,108.433
GaN,B,0.056,v0,Ga,9,N-Ga-N,2-3,105.8245
GaN,B,0.056,v0,Ga,9,N-Ga-N,2-4,106.4942
GaN,B,0.056,v0,Ga,9,N-Ga-N,3-4,118.3956
GaN,B,0.056,v0,Ga,10,N-Ga-N,1-2,109.2836
GaN,B,0.056,v0,Ga,10,N-Ga-N,1-3,109.244
GaN,B,0.056,v0,Ga,10,N-Ga-N,1-4,108.9513
GaN,B,0.056,v0,Ga,10,N-Ga-N,2-3,111.7841
GaN,B,0.056,v0,Ga,10,N-Ga-N,2-4,107.9908
GaN,B,0.056,v0,Ga,10,N-Ga-N,3-4,109.5385
GaN,B,0.056,v0,Ga,11,N-Ga-N,1-2,110.2828
GaN,B,0.056,v0,Ga,11,N-Ga-N,1-3,110.2824
GaN,B,0.056,v0,Ga,11,N-Ga-N,1-4,108.5596
GaN,B,0.056,v0,Ga,11,N-Ga-N,2-3,109.8329
GaN,B,0.056,v0,Ga,11,N-Ga-N,2-4,108.9225
GaN,B,0.056,v0,Ga,11,N-Ga-N,3-4,108.9227
GaN,B,0.056,v0,Ga,12,N-Ga-N,1-2,109.2377
GaN,B,0.056,v0,Ga,12,N-Ga-N,1-3,108.5132
GaN,B,0.056,v0,Ga,12,N-Ga-N,1-4,108.3607
GaN,B,0.056,v0,Ga,12,N-Ga-N,2-3,106.993
GaN,B,0.056,v0,Ga,12,N-Ga-N,2-4,106.7492
GaN,B,0.056,v0,Ga,12,N-Ga-N,3-4,116.8029
GaN,B,0.056,v0,Ga,13,N-Ga-N,1-2,109.4709
GaN,B,0.056,v0,Ga,13,N-Ga-N,1-3,109.4709
GaN,B,0.056,v0,Ga,13,N-Ga-N,1-4,109.8175
GaN,B,0.056,v0,Ga,13,N-Ga-N,2-3,111.2868
GaN,B,0.056,v0,Ga,13,N-Ga-N,2-4,108.3855
GaN,B,0.056,v0,Ga,13,N-Ga-N,3-4,108.3854
GaN,B,0.056,v0,Ga,14,N-Ga-N,1-2,110.4528
GaN,B,0.056,v0,Ga,14,N-Ga-N,1-3,109.227
GaN,B,0.056,v0,Ga,14,N-Ga-N,1-4,108.0094
GaN,B,0.056,v0,Ga,14,N-Ga-N,2-3,111.077
GaN,B,0.056,v0,Ga,14,N-Ga-N,2-4,108.346
GaN,B,0.056,v0,Ga,14,N-Ga-N,3-4,109.6697
GaN,B,0.056,v0,Ga,15,N-Ga-N,1-2,110.167
GaN,B,0.056,v0,Ga,15,N-Ga-N,1-3,106.1759
GaN,B,0.056,v0,Ga,15,N-Ga-N,1-4,108.321
GaN,B,0.056,v0,Ga,15,N-Ga-N,2-3,106.093
GaN,B,0.056,v0,Ga,15,N-Ga-N,2-4,109.2774
GaN,B,0.056,v0,Ga,15,N-Ga-N,3-4,116.6897
GaN,B,0.056,v0,Ga,16,N-Ga-N,1-2,113.5362
GaN,B,0.056,v0,Ga,16,N-Ga-N,1-3,107.9529
GaN,B,0.056,v0,Ga,16,N-Ga-N,1-4,104.8811
GaN,B,0.056,v0,Ga,16,N-Ga-N,2-3,103.9105
GaN,B,0.056,v0,Ga,16,N-Ga-N,2-4,110.5619
GaN,B,0.056,v0,Ga,16,N-Ga-N,3-4,116.2597
GaN,B,0.056,v0,Ga,17,N-Ga-N,1-2,110.4524
GaN,B,0.056,v0,Ga,17,N-Ga-N,1-3,109.2277
GaN,B,0.056,v0,Ga,17,N-Ga-N,1-4,108.0093
GaN,B,0.056,v0,Ga,17,N-Ga-N,2-3,111.0767
GaN,B,0.056,v0,Ga,17,N-Ga-N,2-4,108.346
GaN,B,0.056,v0,Ga,17,N-Ga-N,3-4,109.6698
GaN,B,0.056,v0,Ga,18,N-Ga-N,1-2,110.5513
GaN,B,0.056,v0,Ga,18,N-Ga-N,1-3,110.5513
GaN,B,0.056,v0,Ga,18,N-Ga-N,1-4,108.2962
GaN,B,0.056,v0,Ga,18,N-Ga-N,2-3,110.2283
GaN,B,0.056,v0,Ga,18,N-Ga-N,2-4,108.5725
GaN,B,0.056,v0,Ga,18,N-Ga-N,3-4,108.5727
GaN,B,0.056,v0,Ga,19,N-Ga-N,1-2,109.487
GaN,B,0.056,v0,Ga,19,N-Ga-N,1-3,108.0763
GaN,B,0.056,v0,Ga,19,N-Ga-N,1-4,108.4687
GaN,B,0.056,v0,Ga,19,N-Ga-N,2-3,106.5583
GaN,B,0.056,v0,Ga,19,N-Ga-N,2-4,107.3374
GaN,B,0.056,v0,Ga,19,N-Ga-N,3-4,116.7615
GaN,B,0.056,v0,Ga,20,N-Ga-N,1-2,113.5359
GaN,B,0.056,v0,Ga,20,N-Ga-N,1-3,107.9526
GaN,B,0.056,v0,Ga,20,N-Ga-N,1-4,104.8807
GaN,B,0.056,v0,Ga,20,N-Ga-N,2-3,103.9104
GaN,B,0.056,v0,Ga,20,N-Ga-N,2-4,110.5623
GaN,B,0.056,v0,Ga,20,N-Ga-N,3-4,116.2604
GaN,B,0.056,v0,Ga,21,N-Ga-N,1-2,108.0694
GaN,B,0.056,v0,Ga,21,N-Ga-N,1-3,108.0695
GaN,B,0.056,v0,Ga,21,N-Ga-N,1-4,107.1189
GaN,B,0.056,v0,Ga,21,N-Ga-N,2-3,105.7731
GaN,B,0.056,v0,Ga,21,N-Ga-N,2-4,113.7873
GaN,B,0.056,v0,Ga,21,N-Ga-N,3-4,113.7872
GaN,B,0.056,v0,Ga,22,N-Ga-N,1-2,110.167
GaN,B,0.056,v0,Ga,22,N-Ga-N,1-3,106.1759
GaN,B,0.056,v0,Ga,22,N-Ga-N,1-4,108.3213
GaN,B,0.056,v0,Ga,22,N-Ga-N,2-3,106.0926
GaN,B,0.056,v0,Ga,22,N-Ga-N,2-4,109.277
GaN,B,0.056,v0,Ga,22,N-Ga-N,3-4,116.6903
GaN,B,0.056,v0,Ga,23,N-Ga-N,1-2,109.4874
GaN,B,0.056,v0,Ga,23,N-Ga-N,1-3,108.0761
GaN,B,0.056,v0,Ga,23,N-Ga-N,1-4,108.4696
GaN,B,0.056,v0,Ga,23,N-Ga-N,2-3,106.558
GaN,B,0.056,v0,Ga,23,N-Ga-N,2-4,107.3372
GaN,B,0.056,v0,Ga,23,N-Ga-N,3-4,116.7611
GaN,B,0.056,v0,Ga,24,N-Ga-N,1-2,109.0308
GaN,B,0.056,v0,Ga,24,N-Ga-N,1-3,106.3619
GaN,B,0.056,v0,Ga,24,N-Ga-N,1-4,106.0641
GaN,B,0.056,v0,Ga,24,N-Ga-N,2-3,109.1952
GaN,B,0.056,v0,Ga,24,N-Ga-N,2-4,108.0852
GaN,B,0.056,v0,Ga,24,N-Ga-N,3-4,117.8146
GaN,B,0.056,v0,Ga,25,N-Ga-N,1-2,108.4655
GaN,B,0.056,v0,Ga,25,N-Ga-N,1-3,108.9836
GaN,B,0.056,v0,Ga,25,N-Ga-N,1-4,107.9483
GaN,B,0.056,v0,Ga,25,N-Ga-N,2-3,106.4941
GaN,B,0.056,v0,Ga,25,N-Ga-N,2-4,112.2543
GaN,B,0.056,v0,Ga,25,N-Ga-N,3-4,112.593
GaN,B,0.056,v0,Ga,26,N-Ga-N,1-2,110.3288
GaN,B,0.056,v0,Ga,26,N-Ga-N,1-3,107.2919
GaN,B,0.056,v0,Ga,26,N-Ga-N,1-4,107.8707
GaN,B,0.056,v0,Ga,26,N-Ga-N,2-3,107.2921
GaN,B,0.056,v0,Ga,26,N-Ga-N,2-4,107.8705
GaN,B,0.056,v0,Ga,26,N-Ga-N,3-4,116.1497
GaN,B,0.056,v0,Ga,27,N-Ga-N,1-2,106.4791
GaN,B,0.056,v0,Ga,27,N-Ga-N,1-3,108.8166
GaN,B,0.056,v0,Ga,27,N-Ga-N,1-4,107.9399
GaN,B,0.056,v0,Ga,27,N-Ga-N,2-3,104.0067
GaN,B,0.056,v0,Ga,27,N-Ga-N,2-4,113.4028
GaN,B,0.056,v0,Ga,27,N-Ga-N,3-4,115.7546
GaN,B,0.056,v0,Ga,28,N-Ga-N,1-2,109.0304
GaN,B,0.056,v0,Ga,28,N-Ga-N,1-3,106.3619
GaN,B,0.056,v0,Ga,28,N-Ga-N,1-4,106.0639
GaN,B,0.056,v0,Ga,28,N-Ga-N,2-3,109.1956
GaN,B,0.056,v0,Ga,28,N-Ga-N,2-4,108.0845
GaN,B,0.056,v0,Ga,28,N-Ga-N,3-4,117.8155
GaN,B,0.056,v0,Ga,29,N-Ga-N,1-2,108.8324
GaN,B,0.056,v0,Ga,29,N-Ga-N,1-3,110.1378
GaN,B,0.056,v0,Ga,29,N-Ga-N,1-4,110.1376
GaN,B,0.056,v0,Ga,29,N-Ga-N,2-3,107.907
GaN,B,0.056,v0,Ga,29,N-Ga-N,2-4,107.9069
GaN,B,0.056,v0,Ga,29,N-Ga-N,3-4,111.8216
GaN,B,0.056,v0,Ga,30,N-Ga-N,1-2,109.4258
GaN,B,0.056,v0,Ga,30,N-Ga-N,1-3,109.9054
GaN,B,0.056,v0,Ga,30,N-Ga-N,1-4,108.5427
GaN,B,0.056,v0,Ga,30,N-Ga-N,2-3,109.3974
GaN,B,0.056,v0,Ga,30,N-Ga-N,2-4,108.8621
GaN,B,0.056,v0,Ga,30,N-Ga-N,3-4,110.6822
GaN,B,0.056,v0,Ga,31,N-Ga-N,1-2,106.4788
GaN,B,0.056,v0,Ga,31,N-Ga-N,1-3,108.8171
GaN,B,0.056,v0,Ga,31,N-Ga-N,1-4,107.9397
GaN,B,0.056,v0,Ga,31,N-Ga-N,2-3,104.0066
GaN,B,0.056,v0,Ga,31,N-Ga-N,2-4,113.4031
GaN,B,0.056,v0,Ga,31,N-Ga-N,3-4,115.7545
GaN,B,0.056,v0,Ga,32,N-Ga-N,1-2,108.4653
GaN,B,0.056,v0,Ga,32,N-Ga-N,1-3,108.9841
GaN,B,0.056,v0,Ga,32,N-Ga-N,1-4,107.9482
GaN,B,0.056,v0,Ga,32,N-Ga-N,2-3,106.4938
GaN,B,0.056,v0,Ga,32,N-Ga-N,2-4,112.2542
GaN,B,0.056,v0,Ga,32,N-Ga-N,3-4,112.5931
GaN,B,0.056,v0,Ga,33,N-Ga-N,1-2,109.4261
