base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
GaN,B,0.056,v0,Ga,1,N,Ga-N,1,1.916253
GaN,B,0.056,v0,Ga,1,N,Ga-N,2,1.924552
GaN,B,0.056,v0,Ga,1,N,Ga-N,3,1.976339
GaN,B,0.056,v0,Ga,1,N,Ga-N,4,1.998291
GaN,B,0.056,v0,Ga,2,N,Ga-N,1,1.924364
GaN,B,0.056,v0,Ga,2,N,Ga-N,2,1.926862
GaN,B,0.056,v0,Ga,2,N,Ga-N,3,1.928785
GaN,B,0.056,v0,Ga,2,N,Ga-N,4,1.928785
GaN,B,0.056,v0,Ga,3,N,Ga-N,1,1.925412
GaN,B,0.056,v0,Ga,3,N,Ga-N,2,1.929288
GaN,B,0.056,v0,Ga,3,N,Ga-N,3,1.930636
GaN,B,0.056,v0,Ga,3,N,Ga-N,4,1.953763
GaN,B,0.056,v0,Ga,4,N,Ga-N,1,1.915358
GaN,B,0.056,v0,Ga,4,N,Ga-N,2,1.931081
GaN,B,0.056,v0,Ga,4,N,Ga-N,3,1.958712
GaN,B,0.056,v0,Ga,4,N,Ga-N,4,1.988485
GaN,B,0.056,v0,Ga,5,N,Ga-N,1,1.92494
GaN,B,0.056,v0,Ga,5,N,Ga-N,2,1.931702
GaN,B,0.056,v0,Ga,5,N,Ga-N,3,1.932798
GaN,B,0.056,v0,Ga,5,N,Ga-N,4,1.932799
GaN,B,0.056,v0,Ga,6,N,Ga-N,1,1.924987
GaN,B,0.056,v0,Ga,6,N,Ga-N,2,1.933843
GaN,B,0.056,v0,Ga,6,N,Ga-N,3,1.938503
GaN,B,0.056,v0,Ga,6,N,Ga-N,4,1.947846
GaN,B,0.056,v0,Ga,7,N,Ga-N,1,1.92541
GaN,B,0.056,v0,Ga,7,N,Ga-N,2,1.92929
GaN,B,0.056,v0,Ga,7,N,Ga-N,3,1.930635
GaN,B,0.056,v0,Ga,7,N,Ga-N,4,1.953764
GaN,B,0.056,v0,Ga,8,N,Ga-N,1,1.929431
GaN,B,0.056,v0,Ga,8,N,Ga-N,2,1.929432
GaN,B,0.056,v0,Ga,8,N,Ga-N,3,1.930776
GaN,B,0.056,v0,Ga,8,N,Ga-N,4,1.932369
GaN,B,0.056,v0,Ga,9,N,Ga-N,1,1.916255
GaN,B,0.056,v0,Ga,9,N,Ga-N,2,1.924549
GaN,B,0.056,v0,Ga,9,N,Ga-N,3,1.976342
GaN,B,0.056,v0,Ga,9,N,Ga-N,4,1.998286
GaN,B,0.056,v0,Ga,10,N,Ga-N,1,1.92499
GaN,B,0.056,v0,Ga,10,N,Ga-N,2,1.933846
GaN,B,0.056,v0,Ga,10,N,Ga-N,3,1.938497
GaN,B,0.056,v0,Ga,10,N,Ga-N,4,1.947849
GaN,B,0.056,v0,Ga,11,N,Ga-N,1,1.925579
GaN,B,0.056,v0,Ga,11,N,Ga-N,2,1.925822
GaN,B,0.056,v0,Ga,11,N,Ga-N,3,1.925824
GaN,B,0.056,v0,Ga,11,N,Ga-N,4,1.930757
GaN,B,0.056,v0,Ga,12,N,Ga-N,1,1.915355
GaN,B,0.056,v0,Ga,12,N,Ga-N,2,1.931078
GaN,B,0.056,v0,Ga,12,N,Ga-N,3,1.958712
GaN,B,0.056,v0,Ga,12,N,Ga-N,4,1.988491
GaN,B,0.056,v0,Ga,13,N,Ga-N,1,1.923699
GaN,B,0.056,v0,Ga,13,N,Ga-N,2,1.928939
GaN,B,0.056,v0,Ga,13,N,Ga-N,3,1.92894
GaN,B,0.056,v0,Ga,13,N,Ga-N,4,1.935396
GaN,B,0.056,v0,Ga,14,N,Ga-N,1,1.928493
GaN,B,0.056,v0,Ga,14,N,Ga-N,2,1.928822
GaN,B,0.056,v0,Ga,14,N,Ga-N,3,1.935425
GaN,B,0.056,v0,Ga,14,N,Ga-N,4,1.942165
GaN,B,0.056,v0,Ga,15,N,Ga-N,1,1.92019
GaN,B,0.056,v0,Ga,15,N,Ga-N,2,1.923437
GaN,B,0.056,v0,Ga,15,N,Ga-N,3,1.966546
GaN,B,0.056,v0,Ga,15,N,Ga-N,4,1.986907
GaN,B,0.056,v0,Ga,16,N,Ga-N,1,1.929415
GaN,B,0.056,v0,Ga,16,N,Ga-N,2,1.958004
GaN,B,0.056,v0,Ga,16,N,Ga-N,3,1.962543
GaN,B,0.056,v0,Ga,16,N,Ga-N,4,1.982904
GaN,B,0.056,v0,Ga,17,N,Ga-N,1,1.928493
GaN,B,0.056,v0,Ga,17,N,Ga-N,2,1.928826
GaN,B,0.056,v0,Ga,17,N,Ga-N,3,1.935424
GaN,B,0.056,v0,Ga,17,N,Ga-N,4,1.942164
GaN,B,0.056,v0,Ga,18,N,Ga-N,1,1.922976
GaN,B,0.056,v0,Ga,18,N,Ga-N,2,1.925351
GaN,B,0.056,v0,Ga,18,N,Ga-N,3,1.925354
GaN,B,0.056,v0,Ga,18,N,Ga-N,4,1.933544
GaN,B,0.056,v0,Ga,19,N,Ga-N,1,1.913338
GaN,B,0.056,v0,Ga,19,N,Ga-N,2,1.926541
GaN,B,0.056,v0,Ga,19,N,Ga-N,3,1.968723
GaN,B,0.056,v0,Ga,19,N,Ga-N,4,1.993862
GaN,B,0.056,v0,Ga,20,N,Ga-N,1,1.929419
GaN,B,0.056,v0,Ga,20,N,Ga-N,2,1.958003
GaN,B,0.056,v0,Ga,20,N,Ga-N,3,1.962546
GaN,B,0.056,v0,Ga,20,N,Ga-N,4,1.982899
GaN,B,0.056,v0,Ga,21,N,Ga-N,1,1.9092
GaN,B,0.056,v0,Ga,21,N,Ga-N,2,1.934404
GaN,B,0.056,v0,Ga,21,N,Ga-N,3,1.934404
GaN,B,0.056,v0,Ga,21,N,Ga-N,4,1.959069
GaN,B,0.056,v0,Ga,22,N,Ga-N,1,1.920191
GaN,B,0.056,v0,Ga,22,N,Ga-N,2,1.92344
GaN,B,0.056,v0,Ga,22,N,Ga-N,3,1.966547
GaN,B,0.056,v0,Ga,22,N,Ga-N,4,1.986903
GaN,B,0.056,v0,Ga,23,N,Ga-N,1,1.913333
GaN,B,0.056,v0,Ga,23,N,Ga-N,2,1.926543
GaN,B,0.056,v0,Ga,23,N,Ga-N,3,1.968729
GaN,B,0.056,v0,Ga,23,N,Ga-N,4,1.993861
GaN,B,0.056,v0,Ga,24,N,Ga-N,1,1.918979
GaN,B,0.056,v0,Ga,24,N,Ga-N,2,1.922012
GaN,B,0.056,v0,Ga,24,N,Ga-N,3,1.966693
GaN,B,0.056,v0,Ga,24,N,Ga-N,4,1.983617
GaN,B,0.056,v0,Ga,25,N,Ga-N,1,1.921655
GaN,B,0.056,v0,Ga,25,N,Ga-N,2,1.938694
GaN,B,0.056,v0,Ga,25,N,Ga-N,3,1.941872
GaN,B,0.056,v0,Ga,25,N,Ga-N,4,1.997813
GaN,B,0.056,v0,Ga,26,N,Ga-N,1,1.915958
GaN,B,0.056,v0,Ga,26,N,Ga-N,2,1.915958
GaN,B,0.056,v0,Ga,26,N,Ga-N,3,1.933025
GaN,B,0.056,v0,Ga,26,N,Ga-N,4,1.966734
GaN,B,0.056,v0,Ga,27,N,Ga-N,1,1.916725
GaN,B,0.056,v0,Ga,27,N,Ga-N,2,1.946212
GaN,B,0.056,v0,Ga,27,N,Ga-N,3,1.966134
GaN,B,0.056,v0,Ga,27,N,Ga-N,4,2.002717
GaN,B,0.056,v0,Ga,28,N,Ga-N,1,1.91898
GaN,B,0.056,v0,Ga,28,N,Ga-N,2,1.922014
GaN,B,0.056,v0,Ga,28,N,Ga-N,3,1.966687
GaN,B,0.056,v0,Ga,28,N,Ga-N,4,1.983619
GaN,B,0.056,v0,Ga,29,N,Ga-N,1,1.923703
GaN,B,0.056,v0,Ga,29,N,Ga-N,2,1.929809
GaN,B,0.056,v0,Ga,29,N,Ga-N,3,1.930369
GaN,B,0.056,v0,Ga,29,N,Ga-N,4,1.930369
GaN,B,0.056,v0,Ga,30,N,Ga-N,1,1.927391
GaN,B,0.056,v0,Ga,30,N,Ga-N,2,1.927394
GaN,B,0.056,v0,Ga,30,N,Ga-N,3,1.92842
GaN,B,0.056,v0,Ga,30,N,Ga-N,4,1.949714
GaN,B,0.056,v0,Ga,31,N,Ga-N,1,1.916727
GaN,B,0.056,v0,Ga,31,N,Ga-N,2,1.946212
GaN,B,0.056,v0,Ga,31,N,Ga-N,3,1.966133
GaN,B,0.056,v0,Ga,31,N,Ga-N,4,2.002715
GaN,B,0.056,v0,Ga,32,N,Ga-N,1,1.921653
GaN,B,0.056,v0,Ga,32,N,Ga-N,2,1.938696
GaN,B,0.056,v0,Ga,32,N,Ga-N,3,1.941873
GaN,B,0.056,v0,Ga,32,N,Ga-N,4,1.997811
GaN,B,0.056,v0,Ga,33,N,Ga-N,1,1.927388
GaN,B,0.056,v0,Ga,33,N,Ga-N,2,1.927393
GaN,B,0.056,v0,Ga,33,N,Ga-N,3,1.928423
GaN,B,0.056,v0,Ga,33,N,Ga-N,4,1.949714
GaN,B,0.056,v0,Ga,34,N,Ga-N,1,1.921839
GaN,B,0.056,v0,Ga,34,N,Ga-N,2,1.921839
GaN,B,0.056,v0,Ga,34,N,Ga-N,3,1.922069
GaN,B,0.056,v0,Ga,34,N,Ga-N,4,1.938149
GaN,B,0.056,v0,B,35,N,B-N,1,1.632848
GaN,B,0.056,v0,B,35,N,B-N,2,1.632851
GaN,B,0.056,v0,B,35,N,B-N,3,1.6535
GaN,B,0.056,v0,B,35,N,B-N,4,1.776572
GaN,B,0.056,v0,B,36,N,B-N,1,1.616093
GaN,B,0.056,v0,B,36,N,B-N,2,1.677561
GaN,B,0.056,v0,B,36,N,B-N,3,1.677565
GaN,B,0.056,v0,B,36,N,B-N,4,1.716061
GaN,B,0.056,v1,Ga,1,N,Ga-N,1,1.92914
GaN,B,0.056,v1,Ga,1,N,Ga-N,2,1.947647
GaN,B,0.056,v1,Ga,1,N,Ga-N,3,1.969263
GaN,B,0.056,v1,Ga,1,N,Ga-N,4,2.006688
GaN,B,0.056,v1,Ga,2,N,Ga-N,1,1.913073
GaN,B,0.056,v1,Ga,2,N,Ga-N,2,1.939681
GaN,B,0.056,v1,Ga,2,N,Ga-N,3,1.948636
GaN,B,0.056,v1,Ga,2,N,Ga-N,4,1.99252
GaN,B,0.056,v1,Ga,3,N,Ga-N,1,1.925843
GaN,B,0.056,v1,Ga,3,N,Ga-N,2,1.927216
GaN,B,0.056,v1,Ga,3,N,Ga-N,3,1.932239
GaN,B,0.056,v1,Ga,3,N,Ga-N,4,1.949063
GaN,B,0.056,v1,Ga,4,N,Ga-N,1,1.921654
GaN,B,0.056,v1,Ga,4,N,Ga-N,2,1.921655
GaN,B,0.056,v1,Ga,4,N,Ga-N,3,1.922812
GaN,B,0.056,v1,Ga,4,N,Ga-N,4,1.93462
GaN,B,0.056,v1,Ga,5,N,Ga-N,1,1.922326
GaN,B,0.056,v1,Ga,5,N,Ga-N,2,1.926001
GaN,B,0.056,v1,Ga,5,N,Ga-N,3,1.926002
GaN,B,0.056,v1,Ga,5,N,Ga-N,4,1.928106
GaN,B,0.056,v1,Ga,6,N,Ga-N,1,1.926581
GaN,B,0.056,v1,Ga,6,N,Ga-N,2,1.930926
GaN,B,0.056,v1,Ga,6,N,Ga-N,3,1.934469
GaN,B,0.056,v1,Ga,6,N,Ga-N,4,1.942812
GaN,B,0.056,v1,Ga,7,N,Ga-N,1,1.920938
GaN,B,0.056,v1,Ga,7,N,Ga-N,2,1.926064
GaN,B,0.056,v1,Ga,7,N,Ga-N,3,1.96635
GaN,B,0.056,v1,Ga,7,N,Ga-N,4,1.972105
GaN,B,0.056,v1,Ga,8,N,Ga-N,1,1.912422
GaN,B,0.056,v1,Ga,8,N,Ga-N,2,1.93952
GaN,B,0.056,v1,Ga,8,N,Ga-N,3,1.98378
GaN,B,0.056,v1,Ga,8,N,Ga-N,4,2.013557
GaN,B,0.056,v1,Ga,9,N,Ga-N,1,1.917767
GaN,B,0.056,v1,Ga,9,N,Ga-N,2,1.920424
GaN,B,0.056,v1,Ga,9,N,Ga-N,3,1.971021
GaN,B,0.056,v1,Ga,9,N,Ga-N,4,1.986499
GaN,B,0.056,v1,Ga,10,N,Ga-N,1,1.923037
GaN,B,0.056,v1,Ga,10,N,Ga-N,2,1.924876
GaN,B,0.056,v1,Ga,10,N,Ga-N,3,1.927553
GaN,B,0.056,v1,Ga,10,N,Ga-N,4,1.927554
GaN,B,0.056,v1,Ga,11,N,Ga-N,1,1.923416
GaN,B,0.056,v1,Ga,11,N,Ga-N,2,1.923416
GaN,B,0.056,v1,Ga,11,N,Ga-N,3,1.924251
GaN,B,0.056,v1,Ga,11,N,Ga-N,4,1.929373
GaN,B,0.056,v1,Ga,12,N,Ga-N,1,1.917161
GaN,B,0.056,v1,Ga,12,N,Ga-N,2,1.927304
GaN,B,0.056,v1,Ga,12,N,Ga-N,3,1.966112
GaN,B,0.056,v1,Ga,12,N,Ga-N,4,1.985095
GaN,B,0.056,v1,Ga,13,N,Ga-N,1,1.913071
GaN,B,0.056,v1,Ga,13,N,Ga-N,2,1.939684
GaN,B,0.056,v1,Ga,13,N,Ga-N,3,1.948634
GaN,B,0.056,v1,Ga,13,N,Ga-N,4,1.992521
GaN,B,0.056,v1,Ga,14,N,Ga-N,1,1.925844
GaN,B,0.056,v1,Ga,14,N,Ga-N,2,1.927216
GaN,B,0.056,v1,Ga,14,N,Ga-N,3,1.932239
GaN,B,0.056,v1,Ga,14,N,Ga-N,4,1.949061
GaN,B,0.056,v1,Ga,15,N,Ga-N,1,1.915468
GaN,B,0.056,v1,Ga,15,N,Ga-N,2,1.929929
GaN,B,0.056,v1,Ga,15,N,Ga-N,3,1.966456
GaN,B,0.056,v1,Ga,15,N,Ga-N,4,1.986788
GaN,B,0.056,v1,Ga,16,N,Ga-N,1,1.922624
GaN,B,0.056,v1,Ga,16,N,Ga-N,2,1.927925
GaN,B,0.056,v1,Ga,16,N,Ga-N,3,1.973809
GaN,B,0.056,v1,Ga,16,N,Ga-N,4,1.983818
GaN,B,0.056,v1,Ga,17,N,Ga-N,1,1.911447
GaN,B,0.056,v1,Ga,17,N,Ga-N,2,1.93959
GaN,B,0.056,v1,Ga,17,N,Ga-N,3,1.939591
GaN,B,0.056,v1,Ga,17,N,Ga-N,4,1.974158
GaN,B,0.056,v1,Ga,18,N,Ga-N,1,1.91508
GaN,B,0.056,v1,Ga,18,N,Ga-N,2,1.920035
GaN,B,0.056,v1,Ga,18,N,Ga-N,3,1.921434
GaN,B,0.056,v1,Ga,18,N,Ga-N,4,1.921434
GaN,B,0.056,v1,Ga,19,N,Ga-N,1,1.912419
GaN,B,0.056,v1,Ga,19,N,Ga-N,2,1.939519
GaN,B,0.056,v1,Ga,19,N,Ga-N,3,1.983781
GaN,B,0.056,v1,Ga,19,N,Ga-N,4,2.013558
GaN,B,0.056,v1,Ga,20,N,Ga-N,1,1.91777
GaN,B,0.056,v1,Ga,20,N,Ga-N,2,1.920427
GaN,B,0.056,v1,Ga,20,N,Ga-N,3,1.971022
GaN,B,0.056,v1,Ga,20,N,Ga-N,4,1.986495
GaN,B,0.056,v1,Ga,21,N,Ga-N,1,1.931416
GaN,B,0.056,v1,Ga,21,N,Ga-N,2,1.931433
GaN,B,0.056,v1,Ga,21,N,Ga-N,3,1.933753
GaN,B,0.056,v1,Ga,21,N,Ga-N,4,1.95078
GaN,B,0.056,v1,Ga,22,N,Ga-N,1,1.926089
GaN,B,0.056,v1,Ga,22,N,Ga-N,2,1.928125
GaN,B,0.056,v1,Ga,22,N,Ga-N,3,1.930662
GaN,B,0.056,v1,Ga,22,N,Ga-N,4,1.953983
GaN,B,0.056,v1,Ga,23,N,Ga-N,1,1.925834
GaN,B,0.056,v1,Ga,23,N,Ga-N,2,1.925835
GaN,B,0.056,v1,Ga,23,N,Ga-N,3,1.945734
GaN,B,0.056,v1,Ga,23,N,Ga-N,4,1.971545
GaN,B,0.056,v1,Ga,24,N,Ga-N,1,1.929139
GaN,B,0.056,v1,Ga,24,N,Ga-N,2,1.947648
GaN,B,0.056,v1,Ga,24,N,Ga-N,3,1.969265
GaN,B,0.056,v1,Ga,24,N,Ga-N,4,2.00669
GaN,B,0.056,v1,Ga,25,N,Ga-N,1,1.915194
GaN,B,0.056,v1,Ga,25,N,Ga-N,2,1.919953
GaN,B,0.056,v1,Ga,25,N,Ga-N,3,1.926754
GaN,B,0.056,v1,Ga,25,N,Ga-N,4,1.926754
GaN,B,0.056,v1,Ga,26,N,Ga-N,1,1.921135
GaN,B,0.056,v1,Ga,26,N,Ga-N,2,1.921137
GaN,B,0.056,v1,Ga,26,N,Ga-N,3,1.947125
GaN,B,0.056,v1,Ga,26,N,Ga-N,4,1.969822
GaN,B,0.056,v1,Ga,27,N,Ga-N,1,1.915467
GaN,B,0.056,v1,Ga,27,N,Ga-N,2,1.92993
GaN,B,0.056,v1,Ga,27,N,Ga-N,3,1.966462
GaN,B,0.056,v1,Ga,27,N,Ga-N,4,1.986782
GaN,B,0.056,v1,Ga,28,N,Ga-N,1,1.922624
GaN,B,0.056,v1,Ga,28,N,Ga-N,2,1.927928
GaN,B,0.056,v1,Ga,28,N,Ga-N,3,1.9738
GaN,B,0.056,v1,Ga,28,N,Ga-N,4,1.983823
GaN,B,0.056,v1,Ga,29,N,Ga-N,1,1.926581
GaN,B,0.056,v1,Ga,29,N,Ga-N,2,1.930925
GaN,B,0.056,v1,Ga,29,N,Ga-N,3,1.934469
GaN,B,0.056,v1,Ga,29,N,Ga-N,4,1.942813
GaN,B,0.056,v1,Ga,30,N,Ga-N,1,1.92094
GaN,B,0.056,v1,Ga,30,N,Ga-N,2,1.926066
GaN,B,0.056,v1,Ga,30,N,Ga-N,3,1.966348
GaN,B,0.056,v1,Ga,30,N,Ga-N,4,1.972102
GaN,B,0.056,v1,Ga,31,N,Ga-N,1,1.916005
GaN,B,0.056,v1,Ga,31,N,Ga-N,2,1.94363
GaN,B,0.056,v1,Ga,31,N,Ga-N,3,1.94363
