base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
GaN,B,0.056,v0,Ga,1,4,94.44
GaN,B,0.056,v0,Ga,2,4,94.44
GaN,B,0.056,v0,Ga,3,4,94.44
GaN,B,0.056,v0,Ga,4,4,94.44
GaN,B,0.056,v0,Ga,5,4,94.44
GaN,B,0.056,v0,Ga,6,4,94.44
GaN,B,0.056,v0,Ga,7,4,94.44
GaN,B,0.056,v0,Ga,8,4,94.44
GaN,B,0.056,v0,Ga,9,4,94.44
GaN,B,0.056,v0,Ga,10,4,94.44
GaN,B,0.056,v0,Ga,11,4,94.44
GaN,B,0.056,v0,Ga,12,4,94.44
GaN,B,0.056,v0,Ga,13,4,94.44
GaN,B,0.056,v0,Ga,14,4,94.44
GaN,B,0.056,v0,Ga,15,4,94.44
GaN,B,0.056,v0,Ga,16,4,94.44
GaN,B,0.056,v0,Ga,17,4,94.44
GaN,B,0.056,v0,Ga,18,4,94.44
GaN,B,0.056,v0,Ga,19,4,94.44
GaN,B,0.056,v0,Ga,20,4,94.44
GaN,B,0.056,v0,Ga,21,4,94.44
GaN,B,0.056,v0,Ga,22,4,94.44
GaN,B,0.056,v0,Ga,23,4,94.44
GaN,B,0.056,v0,Ga,24,4,94.44
GaN,B,0.056,v0,Ga,25,4,94.44
GaN,B,0.056,v0,Ga,26,4,94.44
GaN,B,0.056,v0,Ga,27,4,94.44
GaN,B,0.056,v0,Ga,28,4,94.44
GaN,B,0.056,v0,Ga,29,4,94.44
GaN,B,0.056,v0,Ga,30,4,94.44
GaN,B,0.056,v0,Ga,31,4,94.44
GaN,B,0.056,v0,Ga,32,4,94.44
GaN,B,0.056,v0,Ga,33,4,94.44
GaN,B,0.056,v0,Ga,34,4,94.44
GaN,B,0.056,v0,B,35,4,5.56
GaN,B,0.056,v0,B,36,4,5.56
GaN,B,0.056,v1,Ga,1,4,94.44
GaN,B,0.056,v1,Ga,2,4,94.44
GaN,B,0.056,v1,Ga,3,4,94.44
GaN,B,0.056,v1,Ga,4,4,94.44
GaN,B,0.056,v1,Ga,5,4,94.44
GaN,B,0.056,v1,Ga,6,4,94.44
GaN,B,0.056,v1,Ga,7,4,94.44
GaN,B,0.056,v1,Ga,8,4,94.44
GaN,B,0.056,v1,Ga,9,4,94.44
GaN,B,0.056,v1,Ga,10,4,94.44
GaN,B,0.056,v1,Ga,11,4,94.44
GaN,B,0.056,v1,Ga,12,4,94.44
GaN,B,0.056,v1,Ga,13,4,94.44
GaN,B,0.056,v1,Ga,14,4,94.44
GaN,B,0.056,v1,Ga,15,4,94.44
GaN,B,0.056,v1,Ga,16,4,94.44
GaN,B,0.056,v1,Ga,17,4,94.44
GaN,B,0.056,v1,Ga,18,4,94.44
GaN,B,0.056,v1,Ga,19,4,94.44
GaN,B,0.056,v1,Ga,20,4,94.44
GaN,B,0.056,v1,Ga,21,4,94.44
GaN,B,0.056,v1,Ga,22,4,94.44
