base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
GaN,La,0.056,v0,Ga,1,N-Ga-N,1-2,99.5806
GaN,La,0.056,v0,Ga,1,N-Ga-N,1-3,111.5417
GaN,La,0.056,v0,Ga,1,N-Ga-N,1-4,112.7866
GaN,La,0.056,v0,Ga,1,N-Ga-N,2-3,112.8547
GaN,La,0.056,v0,Ga,1,N-Ga-N,2-4,112.4006
GaN,La,0.056,v0,Ga,1,N-Ga-N,3-4,107.6614
GaN,La,0.056,v0,Ga,2,N-Ga-N,1-2,110.4313
GaN,La,0.056,v0,Ga,2,N-Ga-N,1-3,108.9038
GaN,La,0.056,v0,Ga,2,N-Ga-N,1-4,109.5116
GaN,La,0.056,v0,Ga,2,N-Ga-N,2-3,108.9043
GaN,La,0.056,v0,Ga,2,N-Ga-N,2-4,109.5117
GaN,La,0.056,v0,Ga,2,N-Ga-N,3-4,109.5602
GaN,La,0.056,v0,Ga,3,N-Ga-N,1-2,106.3064
GaN,La,0.056,v0,Ga,3,N-Ga-N,1-3,108.9926
GaN,La,0.056,v0,Ga,3,N-Ga-N,1-4,109.0108
GaN,La,0.056,v0,Ga,3,N-Ga-N,2-3,111.0482
GaN,La,0.056,v0,Ga,3,N-Ga-N,2-4,110.6065
GaN,La,0.056,v0,Ga,3,N-Ga-N,3-4,110.7449
GaN,La,0.056,v0,Ga,4,N-Ga-N,1-2,102.7031
GaN,La,0.056,v0,Ga,4,N-Ga-N,1-3,110.2221
GaN,La,0.056,v0,Ga,4,N-Ga-N,1-4,112.0265
GaN,La,0.056,v0,Ga,4,N-Ga-N,2-3,111.5329
GaN,La,0.056,v0,Ga,4,N-Ga-N,2-4,112.8437
GaN,La,0.056,v0,Ga,4,N-Ga-N,3-4,107.5293
GaN,La,0.056,v0,Ga,5,N-Ga-N,1-2,111.4003
GaN,La,0.056,v0,Ga,5,N-Ga-N,1-3,109.5164
GaN,La,0.056,v0,Ga,5,N-Ga-N,1-4,108.7784
GaN,La,0.056,v0,Ga,5,N-Ga-N,2-3,109.5158
GaN,La,0.056,v0,Ga,5,N-Ga-N,2-4,108.7779
GaN,La,0.056,v0,Ga,5,N-Ga-N,3-4,108.8058
GaN,La,0.056,v0,Ga,6,N-Ga-N,1-2,107.3976
GaN,La,0.056,v0,Ga,6,N-Ga-N,1-3,110.3737
GaN,La,0.056,v0,Ga,6,N-Ga-N,1-4,109.1371
GaN,La,0.056,v0,Ga,6,N-Ga-N,2-3,107.4104
GaN,La,0.056,v0,Ga,6,N-Ga-N,2-4,111.3297
GaN,La,0.056,v0,Ga,6,N-Ga-N,3-4,111.1191
GaN,La,0.056,v0,Ga,7,N-Ga-N,1-2,106.3068
GaN,La,0.056,v0,Ga,7,N-Ga-N,1-3,108.9925
GaN,La,0.056,v0,Ga,7,N-Ga-N,1-4,109.0107
GaN,La,0.056,v0,Ga,7,N-Ga-N,2-3,111.0489
GaN,La,0.056,v0,Ga,7,N-Ga-N,2-4,110.6063
GaN,La,0.056,v0,Ga,7,N-Ga-N,3-4,110.7443
GaN,La,0.056,v0,Ga,8,N-Ga-N,1-2,111.5171
GaN,La,0.056,v0,Ga,8,N-Ga-N,1-3,111.5164
GaN,La,0.056,v0,Ga,8,N-Ga-N,1-4,107.5557
GaN,La,0.056,v0,Ga,8,N-Ga-N,2-3,109.1848
GaN,La,0.056,v0,Ga,8,N-Ga-N,2-4,108.4815
GaN,La,0.056,v0,Ga,8,N-Ga-N,3-4,108.4814
GaN,La,0.056,v0,Ga,9,N-Ga-N,1-2,99.5809
GaN,La,0.056,v0,Ga,9,N-Ga-N,1-3,111.5417
GaN,La,0.056,v0,Ga,9,N-Ga-N,1-4,112.7859
GaN,La,0.056,v0,Ga,9,N-Ga-N,2-3,112.8549
GaN,La,0.056,v0,Ga,9,N-Ga-N,2-4,112.4009
GaN,La,0.056,v0,Ga,9,N-Ga-N,3-4,107.6611
GaN,La,0.056,v0,Ga,10,N-Ga-N,1-2,107.3972
GaN,La,0.056,v0,Ga,10,N-Ga-N,1-3,110.3743
GaN,La,0.056,v0,Ga,10,N-Ga-N,1-4,109.1372
GaN,La,0.056,v0,Ga,10,N-Ga-N,2-3,107.4103
GaN,La,0.056,v0,Ga,10,N-Ga-N,2-4,111.3288
GaN,La,0.056,v0,Ga,10,N-Ga-N,3-4,111.1196
GaN,La,0.056,v0,Ga,11,N-Ga-N,1-2,108.8181
GaN,La,0.056,v0,Ga,11,N-Ga-N,1-3,108.9054
GaN,La,0.056,v0,Ga,11,N-Ga-N,1-4,108.9058
GaN,La,0.056,v0,Ga,11,N-Ga-N,2-3,110.4384
GaN,La,0.056,v0,Ga,11,N-Ga-N,2-4,110.4382
GaN,La,0.056,v0,Ga,11,N-Ga-N,3-4,109.2999
GaN,La,0.056,v0,Ga,12,N-Ga-N,1-2,102.703
GaN,La,0.056,v0,Ga,12,N-Ga-N,1-3,110.222
GaN,La,0.056,v0,Ga,12,N-Ga-N,1-4,112.0267
