base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
GaN,La,0.056,v0,Ga,1,4,94.44
GaN,La,0.056,v0,Ga,2,4,94.44
GaN,La,0.056,v0,Ga,3,4,94.44
GaN,La,0.056,v0,Ga,4,4,94.44
GaN,La,0.056,v0,Ga,5,4,94.44
GaN,La,0.056,v0,Ga,6,4,94.44
GaN,La,0.056,v0,Ga,7,4,94.44
GaN,La,0.056,v0,Ga,8,4,94.44
GaN,La,0.056,v0,Ga,9,4,94.44
GaN,La,0.056,v0,Ga,10,4,94.44
GaN,La,0.056,v0,Ga,11,4,94.44
GaN,La,0.056,v0,Ga,12,4,94.44
GaN,La,0.056,v0,Ga,13,4,94.44
GaN,La,0.056,v0,Ga,14,4,94.44
GaN,La,0.056,v0,Ga,15,4,94.44
GaN,La,0.056,v0,Ga,16,4,94.44
GaN,La,0.056,v0,Ga,17,4,94.44
GaN,La,0.056,v0,Ga,18,4,94.44
GaN,La,0.056,v0,Ga,19,4,94.44
GaN,La,0.056,v0,Ga,20,4,94.44
GaN,La,0.056,v0,Ga,21,4,94.44
GaN,La,0.056,v0,Ga,22,4,94.44
GaN,La,0.056,v0,Ga,23,4,94.44
GaN,La,0.056,v0,Ga,24,4,94.44
GaN,La,0.056,v0,Ga,25,4,94.44
GaN,La,0.056,v0,Ga,26,4,94.44
GaN,La,0.056,v0,Ga,27,4,94.44
GaN,La,0.056,v0,Ga,28,4,94.44
GaN,La,0.056,v0,Ga,29,4,94.44
GaN,La,0.056,v0,Ga,30,4,94.44
GaN,La,0.056,v0,Ga,31,4,94.44
GaN,La,0.056,v0,Ga,32,4,94.44
GaN,La,0.056,v0,Ga,33,4,94.44
GaN,La,0.056,v0,Ga,34,4,94.44
GaN,La,0.056,v0,La,35,4,5.56
GaN,La,0.056,v0,La,36,4,5.56
GaN,La,0.056,v1,Ga,1,4,94.44
GaN,La,0.056,v1,Ga,2,4,94.44
GaN,La,0.056,v1,Ga,3,4,94.44
GaN,La,0.056,v1,Ga,4,4,94.44
GaN,La,0.056,v1,Ga,5,4,94.44
GaN,La,0.056,v1,Ga,6,4,94.44
GaN,La,0.056,v1,Ga,7,4,94.44
GaN,La,0.056,v1,Ga,8,4,94.44
GaN,La,0.056,v1,Ga,9,4,94.44
GaN,La,0.056,v1,Ga,10,4,94.44
GaN,La,0.056,v1,Ga,11,4,94.44
GaN,La,0.056,v1,Ga,12,4,94.44
GaN,La,0.056,v1,Ga,13,4,94.44
GaN,La,0.056,v1,Ga,14,4,94.44
GaN,La,0.056,v1,Ga,15,4,94.44
GaN,La,0.056,v1,Ga,16,4,94.44
GaN,La,0.056,v1,Ga,17,4,94.44
GaN,La,0.056,v1,Ga,18,4,94.44
GaN,La,0.056,v1,Ga,19,4,94.44
GaN,La,0.056,v1,Ga,20,4,94.44
GaN,La,0.056,v1,Ga,21,4,94.44
GaN,La,0.056,v1,Ga,22,4,94.44
GaN,La,0.056,v1,Ga,23,4,94.44
GaN,La,0.056,v1,Ga,24,4,94.44
GaN,La,0.056,v1,Ga,25,4,94.44
GaN,La,0.056,v1,Ga,26,4,94.44
GaN,La,0.056,v1,Ga,27,4,94.44
GaN,La,0.056,v1,Ga,28,4,94.44
GaN,La,0.056,v1,Ga,29,4,94.44
GaN,La,0.056,v1,Ga,30,4,94.44
GaN,La,0.056,v1,Ga,31,4,94.44
GaN,La,0.056,v1,Ga,32,4,94.44
GaN,La,0.056,v1,Ga,33,4,94.44
GaN,La,0.056,v1,Ga,34,4,94.44
GaN,La,0.056,v1,La,35,4,5.56
GaN,La,0.056,v1,La,36,4,5.56
GaN,La,0.056,v2,Ga,1,4,94.44
GaN,La,0.056,v2,Ga,2,4,94.44
GaN,La,0.056,v2,Ga,3,4,94.44
GaN,La,0.056,v2,Ga,4,4,94.44
GaN,La,0.056,v2,Ga,5,4,94.44
GaN,La,0.056,v2,Ga,6,4,94.44
GaN,La,0.056,v2,Ga,7,4,94.44
GaN,La,0.056,v2,Ga,8,4,94.44
GaN,La,0.056,v2,Ga,9,4,94.44
GaN,La,0.056,v2,Ga,10,4,94.44
GaN,La,0.056,v2,Ga,11,4,94.44
GaN,La,0.056,v2,Ga,12,4,94.44
GaN,La,0.056,v2,Ga,13,4,94.44
GaN,La,0.056,v2,Ga,14,4,94.44
GaN,La,0.056,v2,Ga,15,4,94.44
GaN,La,0.056,v2,Ga,16,4,94.44
GaN,La,0.056,v2,Ga,17,4,94.44
GaN,La,0.056,v2,Ga,18,4,94.44
GaN,La,0.056,v2,Ga,19,4,94.44
GaN,La,0.056,v2,Ga,20,4,94.44
GaN,La,0.056,v2,Ga,21,4,94.44
GaN,La,0.056,v2,Ga,22,4,94.44
GaN,La,0.056,v2,Ga,23,4,94.44
GaN,La,0.056,v2,Ga,24,4,94.44
GaN,La,0.056,v2,Ga,25,4,94.44
GaN,La,0.056,v2,Ga,26,4,94.44
GaN,La,0.056,v2,Ga,27,4,94.44
GaN,La,0.056,v2,Ga,28,4,94.44
GaN,La,0.056,v2,Ga,29,4,94.44
GaN,La,0.056,v2,Ga,30,4,94.44
GaN,La,0.056,v2,Ga,31,4,94.44
GaN,La,0.056,v2,Ga,32,4,94.44
GaN,La,0.056,v2,Ga,33,4,94.44
GaN,La,0.056,v2,Ga,34,4,94.44
GaN,La,0.056,v2,La,35,4,5.56
GaN,La,0.056,v2,La,36,4,5.56
GaN,La,0.056,v3,Ga,1,4,94.44
GaN,La,0.056,v3,Ga,2,4,94.44
GaN,La,0.056,v3,Ga,3,4,94.44
GaN,La,0.056,v3,Ga,4,4,94.44
GaN,La,0.056,v3,Ga,5,4,94.44
GaN,La,0.056,v3,Ga,6,4,94.44
GaN,La,0.056,v3,Ga,7,4,94.44
GaN,La,0.056,v3,Ga,8,4,94.44
GaN,La,0.056,v3,Ga,9,4,94.44
GaN,La,0.056,v3,Ga,10,4,94.44
GaN,La,0.056,v3,Ga,11,4,94.44
GaN,La,0.056,v3,Ga,12,4,94.44
GaN,La,0.056,v3,Ga,13,4,94.44
GaN,La,0.056,v3,Ga,14,4,94.44
GaN,La,0.056,v3,Ga,15,4,94.44
GaN,La,0.056,v3,Ga,16,4,94.44
GaN,La,0.056,v3,Ga,17,4,94.44
GaN,La,0.056,v3,Ga,18,4,94.44
GaN,La,0.056,v3,Ga,19,4,94.44
GaN,La,0.056,v3,Ga,20,4,94.44
GaN,La,0.056,v3,Ga,21,4,94.44
GaN,La,0.056,v3,Ga,22,4,94.44
GaN,La,0.056,v3,Ga,23,4,94.44
GaN,La,0.056,v3,Ga,24,4,94.44
GaN,La,0.056,v3,Ga,25,4,94.44
GaN,La,0.056,v3,Ga,26,4,94.44
GaN,La,0.056,v3,Ga,27,4,94.44
GaN,La,0.056,v3,Ga,28,4,94.44
GaN,La,0.056,v3,Ga,29,4,94.44
GaN,La,0.056,v3,Ga,30,4,94.44
GaN,La,0.056,v3,Ga,31,4,94.44
GaN,La,0.056,v3,Ga,32,4,94.44
GaN,La,0.056,v3,Ga,33,4,94.44
GaN,La,0.056,v3,Ga,34,4,94.44
GaN,La,0.056,v3,La,35,4,5.56
GaN,La,0.056,v3,La,36,4,5.56
GaN,La,0.111,v0,La,1,4,11.11
GaN,La,0.111,v0,La,2,4,11.11
GaN,La,0.111,v0,La,3,4,11.11
GaN,La,0.111,v0,La,4,4,11.11
GaN,La,0.111,v0,Ga,5,4,88.89
GaN,La,0.111,v0,Ga,6,4,88.89
GaN,La,0.111,v0,Ga,7,4,88.89
GaN,La,0.111,v0,Ga,8,4,88.89
GaN,La,0.111,v0,Ga,9,4,88.89
GaN,La,0.111,v0,Ga,10,4,88.89
GaN,La,0.111,v0,Ga,11,4,88.89
GaN,La,0.111,v0,Ga,12,4,88.89
GaN,La,0.111,v0,Ga,13,4,88.89
GaN,La,0.111,v0,Ga,14,4,88.89
GaN,La,0.111,v0,Ga,15,4,88.89
GaN,La,0.111,v0,Ga,16,4,88.89
GaN,La,0.111,v0,Ga,17,4,88.89
GaN,La,0.111,v0,Ga,18,4,88.89
GaN,La,0.111,v0,Ga,19,4,88.89
GaN,La,0.111,v0,Ga,20,4,88.89
GaN,La,0.111,v0,Ga,21,4,88.89
GaN,La,0.111,v0,Ga,22,4,88.89
GaN,La,0.111,v0,Ga,23,4,88.89
GaN,La,0.111,v0,Ga,24,4,88.89
GaN,La,0.111,v0,Ga,25,4,88.89
GaN,La,0.111,v0,Ga,26,4,88.89
GaN,La,0.111,v0,Ga,27,4,88.89
GaN,La,0.111,v0,Ga,28,4,88.89
GaN,La,0.111,v0,Ga,29,4,88.89
GaN,La,0.111,v0,Ga,30,4,88.89
GaN,La,0.111,v0,Ga,31,4,88.89
GaN,La,0.111,v0,Ga,32,4,88.89
GaN,La,0.111,v0,Ga,33,4,88.89
GaN,La,0.111,v0,Ga,34,4,88.89
GaN,La,0.111,v0,Ga,35,4,88.89
GaN,La,0.111,v0,Ga,36,4,88.89
GaN,La,0.111,v1,Ga,1,4,88.89
GaN,La,0.111,v1,Ga,2,4,88.89
GaN,La,0.111,v1,Ga,3,4,88.89
GaN,La,0.111,v1,Ga,4,4,88.89
