base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
GaN,Sc,0.056,v0,Ga,1,N-Ga-N,1-2,106.1512
GaN,Sc,0.056,v0,Ga,1,N-Ga-N,1-3,109.8417
GaN,Sc,0.056,v0,Ga,1,N-Ga-N,1-4,111.1596
GaN,Sc,0.056,v0,Ga,1,N-Ga-N,2-3,110.2563
GaN,Sc,0.056,v0,Ga,1,N-Ga-N,2-4,110.9727
GaN,Sc,0.056,v0,Ga,1,N-Ga-N,3-4,108.4551
GaN,Sc,0.056,v0,Ga,2,N-Ga-N,1-2,110.2111
GaN,Sc,0.056,v0,Ga,2,N-Ga-N,1-3,109.7031
GaN,Sc,0.056,v0,Ga,2,N-Ga-N,1-4,109.1245
GaN,Sc,0.056,v0,Ga,2,N-Ga-N,2-3,109.7026
GaN,Sc,0.056,v0,Ga,2,N-Ga-N,2-4,109.1245
GaN,Sc,0.056,v0,Ga,2,N-Ga-N,3-4,108.951
GaN,Sc,0.056,v0,Ga,3,N-Ga-N,1-2,108.0163
GaN,Sc,0.056,v0,Ga,3,N-Ga-N,1-3,108.4993
GaN,Sc,0.056,v0,Ga,3,N-Ga-N,1-4,108.7524
GaN,Sc,0.056,v0,Ga,3,N-Ga-N,2-3,110.3667
GaN,Sc,0.056,v0,Ga,3,N-Ga-N,2-4,110.5493
GaN,Sc,0.056,v0,Ga,3,N-Ga-N,3-4,110.5796
GaN,Sc,0.056,v0,Ga,4,N-Ga-N,1-2,107.2824
GaN,Sc,0.056,v0,Ga,4,N-Ga-N,1-3,109.3917
GaN,Sc,0.056,v0,Ga,4,N-Ga-N,1-4,111.0145
GaN,Sc,0.056,v0,Ga,4,N-Ga-N,2-3,109.5735
GaN,Sc,0.056,v0,Ga,4,N-Ga-N,2-4,110.9544
GaN,Sc,0.056,v0,Ga,4,N-Ga-N,3-4,108.6037
GaN,Sc,0.056,v0,Ga,5,N-Ga-N,1-2,110.4053
GaN,Sc,0.056,v0,Ga,5,N-Ga-N,1-3,110.0415
