base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
GaN,Sc,0.056,v0,Ga,1,N,Ga-N,1,1.917859
GaN,Sc,0.056,v0,Ga,1,N,Ga-N,2,1.924788
GaN,Sc,0.056,v0,Ga,1,N,Ga-N,3,1.946724
GaN,Sc,0.056,v0,Ga,1,N,Ga-N,4,1.953679
GaN,Sc,0.056,v0,Ga,2,N,Ga-N,1,1.944828
GaN,Sc,0.056,v0,Ga,2,N,Ga-N,2,1.944832
GaN,Sc,0.056,v0,Ga,2,N,Ga-N,3,1.945267
GaN,Sc,0.056,v0,Ga,2,N,Ga-N,4,1.949809
GaN,Sc,0.056,v0,Ga,3,N,Ga-N,1,1.937209
GaN,Sc,0.056,v0,Ga,3,N,Ga-N,2,1.943877
GaN,Sc,0.056,v0,Ga,3,N,Ga-N,3,1.944514
GaN,Sc,0.056,v0,Ga,3,N,Ga-N,4,1.944856
GaN,Sc,0.056,v0,Ga,4,N,Ga-N,1,1.921338
GaN,Sc,0.056,v0,Ga,4,N,Ga-N,2,1.927233
GaN,Sc,0.056,v0,Ga,4,N,Ga-N,3,1.945869
GaN,Sc,0.056,v0,Ga,4,N,Ga-N,4,1.951687
GaN,Sc,0.056,v0,Ga,5,N,Ga-N,1,1.944111
GaN,Sc,0.056,v0,Ga,5,N,Ga-N,2,1.944112
GaN,Sc,0.056,v0,Ga,5,N,Ga-N,3,1.94537
GaN,Sc,0.056,v0,Ga,5,N,Ga-N,4,1.949468
GaN,Sc,0.056,v0,Ga,6,N,Ga-N,1,1.937678
GaN,Sc,0.056,v0,Ga,6,N,Ga-N,2,1.941286
GaN,Sc,0.056,v0,Ga,6,N,Ga-N,3,1.94297
GaN,Sc,0.056,v0,Ga,6,N,Ga-N,4,1.946681
GaN,Sc,0.056,v0,Ga,7,N,Ga-N,1,1.937208
GaN,Sc,0.056,v0,Ga,7,N,Ga-N,2,1.943874
GaN,Sc,0.056,v0,Ga,7,N,Ga-N,3,1.944519
GaN,Sc,0.056,v0,Ga,7,N,Ga-N,4,1.944854
GaN,Sc,0.056,v0,Ga,8,N,Ga-N,1,1.944787
GaN,Sc,0.056,v0,Ga,8,N,Ga-N,2,1.944789
GaN,Sc,0.056,v0,Ga,8,N,Ga-N,3,1.944854
GaN,Sc,0.056,v0,Ga,8,N,Ga-N,4,1.944972
GaN,Sc,0.056,v0,Ga,9,N,Ga-N,1,1.917864
GaN,Sc,0.056,v0,Ga,9,N,Ga-N,2,1.924783
GaN,Sc,0.056,v0,Ga,9,N,Ga-N,3,1.946725
GaN,Sc,0.056,v0,Ga,9,N,Ga-N,4,1.953679
GaN,Sc,0.056,v0,Ga,10,N,Ga-N,1,1.937675
GaN,Sc,0.056,v0,Ga,10,N,Ga-N,2,1.941286
GaN,Sc,0.056,v0,Ga,10,N,Ga-N,3,1.942967
GaN,Sc,0.056,v0,Ga,10,N,Ga-N,4,1.946684
GaN,Sc,0.056,v0,Ga,11,N,Ga-N,1,1.945174
GaN,Sc,0.056,v0,Ga,11,N,Ga-N,2,1.945317
GaN,Sc,0.056,v0,Ga,11,N,Ga-N,3,1.945319
GaN,Sc,0.056,v0,Ga,11,N,Ga-N,4,1.94555
GaN,Sc,0.056,v0,Ga,12,N,Ga-N,1,1.921337
GaN,Sc,0.056,v0,Ga,12,N,Ga-N,2,1.927233
GaN,Sc,0.056,v0,Ga,12,N,Ga-N,3,1.94587
GaN,Sc,0.056,v0,Ga,12,N,Ga-N,4,1.95168
GaN,Sc,0.056,v0,Ga,13,N,Ga-N,1,1.943692
GaN,Sc,0.056,v0,Ga,13,N,Ga-N,2,1.946998
GaN,Sc,0.056,v0,Ga,13,N,Ga-N,3,1.947005
GaN,Sc,0.056,v0,Ga,13,N,Ga-N,4,1.949973
GaN,Sc,0.056,v0,Ga,14,N,Ga-N,1,1.941617
GaN,Sc,0.056,v0,Ga,14,N,Ga-N,2,1.941901
GaN,Sc,0.056,v0,Ga,14,N,Ga-N,3,1.943645
GaN,Sc,0.056,v0,Ga,14,N,Ga-N,4,1.944425
GaN,Sc,0.056,v0,Ga,15,N,Ga-N,1,1.934268
GaN,Sc,0.056,v0,Ga,15,N,Ga-N,2,1.937952
GaN,Sc,0.056,v0,Ga,15,N,Ga-N,3,1.948587
GaN,Sc,0.056,v0,Ga,15,N,Ga-N,4,1.948893
GaN,Sc,0.056,v0,Ga,16,N,Ga-N,1,1.91898
GaN,Sc,0.056,v0,Ga,16,N,Ga-N,2,1.932713
GaN,Sc,0.056,v0,Ga,16,N,Ga-N,3,1.936297
GaN,Sc,0.056,v0,Ga,16,N,Ga-N,4,1.943771
GaN,Sc,0.056,v0,Ga,17,N,Ga-N,1,1.941618
GaN,Sc,0.056,v0,Ga,17,N,Ga-N,2,1.941897
GaN,Sc,0.056,v0,Ga,17,N,Ga-N,3,1.943647
GaN,Sc,0.056,v0,Ga,17,N,Ga-N,4,1.944424
GaN,Sc,0.056,v0,Ga,18,N,Ga-N,1,1.944288
GaN,Sc,0.056,v0,Ga,18,N,Ga-N,2,1.945391
GaN,Sc,0.056,v0,Ga,18,N,Ga-N,3,1.945616
GaN,Sc,0.056,v0,Ga,18,N,Ga-N,4,1.945623
GaN,Sc,0.056,v0,Ga,19,N,Ga-N,1,1.920476
GaN,Sc,0.056,v0,Ga,19,N,Ga-N,2,1.92597
GaN,Sc,0.056,v0,Ga,19,N,Ga-N,3,1.947585
GaN,Sc,0.056,v0,Ga,19,N,Ga-N,4,1.950791
GaN,Sc,0.056,v0,Ga,20,N,Ga-N,1,1.918983
GaN,Sc,0.056,v0,Ga,20,N,Ga-N,2,1.932717
GaN,Sc,0.056,v0,Ga,20,N,Ga-N,3,1.936294
GaN,Sc,0.056,v0,Ga,20,N,Ga-N,4,1.943778
GaN,Sc,0.056,v0,Ga,21,N,Ga-N,1,1.939361
GaN,Sc,0.056,v0,Ga,21,N,Ga-N,2,1.939368
GaN,Sc,0.056,v0,Ga,21,N,Ga-N,3,1.963276
GaN,Sc,0.056,v0,Ga,21,N,Ga-N,4,1.965
GaN,Sc,0.056,v0,Ga,22,N,Ga-N,1,1.934267
GaN,Sc,0.056,v0,Ga,22,N,Ga-N,2,1.937949
GaN,Sc,0.056,v0,Ga,22,N,Ga-N,3,1.948587
GaN,Sc,0.056,v0,Ga,22,N,Ga-N,4,1.948892
GaN,Sc,0.056,v0,Ga,23,N,Ga-N,1,1.920471
GaN,Sc,0.056,v0,Ga,23,N,Ga-N,2,1.925961
GaN,Sc,0.056,v0,Ga,23,N,Ga-N,3,1.947584
GaN,Sc,0.056,v0,Ga,23,N,Ga-N,4,1.950793
GaN,Sc,0.056,v0,Ga,24,N,Ga-N,1,1.917973
GaN,Sc,0.056,v0,Ga,24,N,Ga-N,2,1.925295
GaN,Sc,0.056,v0,Ga,24,N,Ga-N,3,1.950296
GaN,Sc,0.056,v0,Ga,24,N,Ga-N,4,1.950478
GaN,Sc,0.056,v0,Ga,25,N,Ga-N,1,1.928368
GaN,Sc,0.056,v0,Ga,25,N,Ga-N,2,1.934036
GaN,Sc,0.056,v0,Ga,25,N,Ga-N,3,1.935076
GaN,Sc,0.056,v0,Ga,25,N,Ga-N,4,1.960873
GaN,Sc,0.056,v0,Ga,26,N,Ga-N,1,1.932425
GaN,Sc,0.056,v0,Ga,26,N,Ga-N,2,1.953332
GaN,Sc,0.056,v0,Ga,26,N,Ga-N,3,1.953336
GaN,Sc,0.056,v0,Ga,26,N,Ga-N,4,1.980075
GaN,Sc,0.056,v0,Ga,27,N,Ga-N,1,1.917728
GaN,Sc,0.056,v0,Ga,27,N,Ga-N,2,1.931142
GaN,Sc,0.056,v0,Ga,27,N,Ga-N,3,1.950901
GaN,Sc,0.056,v0,Ga,27,N,Ga-N,4,1.954855
GaN,Sc,0.056,v0,Ga,28,N,Ga-N,1,1.917975
GaN,Sc,0.056,v0,Ga,28,N,Ga-N,2,1.925289
GaN,Sc,0.056,v0,Ga,28,N,Ga-N,3,1.950294
GaN,Sc,0.056,v0,Ga,28,N,Ga-N,4,1.950479
GaN,Sc,0.056,v0,Ga,29,N,Ga-N,1,1.944665
GaN,Sc,0.056,v0,Ga,29,N,Ga-N,2,1.944669
GaN,Sc,0.056,v0,Ga,29,N,Ga-N,3,1.94574
GaN,Sc,0.056,v0,Ga,29,N,Ga-N,4,1.947054
GaN,Sc,0.056,v0,Ga,30,N,Ga-N,1,1.938697
GaN,Sc,0.056,v0,Ga,30,N,Ga-N,2,1.943698
GaN,Sc,0.056,v0,Ga,30,N,Ga-N,3,1.943981
GaN,Sc,0.056,v0,Ga,30,N,Ga-N,4,1.944525
GaN,Sc,0.056,v0,Ga,31,N,Ga-N,1,1.917734
GaN,Sc,0.056,v0,Ga,31,N,Ga-N,2,1.93115
GaN,Sc,0.056,v0,Ga,31,N,Ga-N,3,1.950899
GaN,Sc,0.056,v0,Ga,31,N,Ga-N,4,1.954848
GaN,Sc,0.056,v0,Ga,32,N,Ga-N,1,1.928369
GaN,Sc,0.056,v0,Ga,32,N,Ga-N,2,1.934035
GaN,Sc,0.056,v0,Ga,32,N,Ga-N,3,1.935078
GaN,Sc,0.056,v0,Ga,32,N,Ga-N,4,1.96087
GaN,Sc,0.056,v0,Ga,33,N,Ga-N,1,1.938698
GaN,Sc,0.056,v0,Ga,33,N,Ga-N,2,1.943692
GaN,Sc,0.056,v0,Ga,33,N,Ga-N,3,1.943982
GaN,Sc,0.056,v0,Ga,33,N,Ga-N,4,1.944528
GaN,Sc,0.056,v0,Ga,34,N,Ga-N,1,1.941726
GaN,Sc,0.056,v0,Ga,34,N,Ga-N,2,1.947849
GaN,Sc,0.056,v0,Ga,34,N,Ga-N,3,1.947946
GaN,Sc,0.056,v0,Ga,34,N,Ga-N,4,1.947947
GaN,Sc,0.056,v0,Sc,35,N,Sc-N,1,2.031868
GaN,Sc,0.056,v0,Sc,35,N,Sc-N,2,2.048986
GaN,Sc,0.056,v0,Sc,35,N,Sc-N,3,2.049098
GaN,Sc,0.056,v0,Sc,35,N,Sc-N,4,2.079716
GaN,Sc,0.056,v0,Sc,36,N,Sc-N,1,2.038268
GaN,Sc,0.056,v0,Sc,36,N,Sc-N,2,2.038291
GaN,Sc,0.056,v0,Sc,36,N,Sc-N,3,2.054226
GaN,Sc,0.056,v0,Sc,36,N,Sc-N,4,2.074988
GaN,Sc,0.056,v1,Ga,1,N,Ga-N,1,1.914598
GaN,Sc,0.056,v1,Ga,1,N,Ga-N,2,1.940024
GaN,Sc,0.056,v1,Ga,1,N,Ga-N,3,1.940416
