base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
GaN,Y,0.056,v0,Ga,1,N-Ga-N,1-2,102.0079
GaN,Y,0.056,v0,Ga,1,N-Ga-N,1-3,111.1246
GaN,Y,0.056,v0,Ga,1,N-Ga-N,1-4,112.2313
GaN,Y,0.056,v0,Ga,1,N-Ga-N,2-3,111.6821
GaN,Y,0.056,v0,Ga,1,N-Ga-N,2-4,111.7922
GaN,Y,0.056,v0,Ga,1,N-Ga-N,3-4,107.999
GaN,Y,0.056,v0,Ga,2,N-Ga-N,1-2,110.3632
GaN,Y,0.056,v0,Ga,2,N-Ga-N,1-3,109.2416
GaN,Y,0.056,v0,Ga,2,N-Ga-N,1-4,109.3894
GaN,Y,0.056,v0,Ga,2,N-Ga-N,2-3,109.2411
GaN,Y,0.056,v0,Ga,2,N-Ga-N,2-4,109.3893
GaN,Y,0.056,v0,Ga,2,N-Ga-N,3-4,109.1972
GaN,Y,0.056,v0,Ga,3,N-Ga-N,1-2,107.0985
GaN,Y,0.056,v0,Ga,3,N-Ga-N,1-3,108.7174
GaN,Y,0.056,v0,Ga,3,N-Ga-N,1-4,108.3652
GaN,Y,0.056,v0,Ga,3,N-Ga-N,2-3,110.8897
GaN,Y,0.056,v0,Ga,3,N-Ga-N,2-4,110.7268
GaN,Y,0.056,v0,Ga,3,N-Ga-N,3-4,110.9115
GaN,Y,0.056,v0,Ga,4,N-Ga-N,1-2,104.5318
GaN,Y,0.056,v0,Ga,4,N-Ga-N,1-3,110.0721
GaN,Y,0.056,v0,Ga,4,N-Ga-N,1-4,111.8419
GaN,Y,0.056,v0,Ga,4,N-Ga-N,2-3,110.3777
GaN,Y,0.056,v0,Ga,4,N-Ga-N,2-4,111.8795
GaN,Y,0.056,v0,Ga,4,N-Ga-N,3-4,108.1304
GaN,Y,0.056,v0,Ga,5,N-Ga-N,1-2,110.7839
GaN,Y,0.056,v0,Ga,5,N-Ga-N,1-3,109.9608
GaN,Y,0.056,v0,Ga,5,N-Ga-N,1-4,108.8021
GaN,Y,0.056,v0,Ga,5,N-Ga-N,2-3,109.9602
GaN,Y,0.056,v0,Ga,5,N-Ga-N,2-4,108.8017
GaN,Y,0.056,v0,Ga,5,N-Ga-N,3-4,108.4812
GaN,Y,0.056,v0,Ga,6,N-Ga-N,1-2,107.8382
GaN,Y,0.056,v0,Ga,6,N-Ga-N,1-3,109.8848
GaN,Y,0.056,v0,Ga,6,N-Ga-N,1-4,108.6801
GaN,Y,0.056,v0,Ga,6,N-Ga-N,2-3,108.4371
GaN,Y,0.056,v0,Ga,6,N-Ga-N,2-4,111.0253
GaN,Y,0.056,v0,Ga,6,N-Ga-N,3-4,110.9228
GaN,Y,0.056,v0,Ga,7,N-Ga-N,1-2,107.0986
GaN,Y,0.056,v0,Ga,7,N-Ga-N,1-3,108.7172
GaN,Y,0.056,v0,Ga,7,N-Ga-N,1-4,108.3651
GaN,Y,0.056,v0,Ga,7,N-Ga-N,2-3,110.8903
GaN,Y,0.056,v0,Ga,7,N-Ga-N,2-4,110.7267
GaN,Y,0.056,v0,Ga,7,N-Ga-N,3-4,110.9111
GaN,Y,0.056,v0,Ga,8,N-Ga-N,1-2,108.1556
GaN,Y,0.056,v0,Ga,8,N-Ga-N,1-3,108.1555
GaN,Y,0.056,v0,Ga,8,N-Ga-N,1-4,108.1972
GaN,Y,0.056,v0,Ga,8,N-Ga-N,2-3,110.318
GaN,Y,0.056,v0,Ga,8,N-Ga-N,2-4,110.9524
GaN,Y,0.056,v0,Ga,8,N-Ga-N,3-4,110.9518
GaN,Y,0.056,v0,Ga,9,N-Ga-N,1-2,102.0082
GaN,Y,0.056,v0,Ga,9,N-Ga-N,1-3,111.1242
