base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
GaN,Y,0.056,v0,Ga,1,N,Ga-N,1,1.910429
GaN,Y,0.056,v0,Ga,1,N,Ga-N,2,1.921085
GaN,Y,0.056,v0,Ga,1,N,Ga-N,3,1.960148
GaN,Y,0.056,v0,Ga,1,N,Ga-N,4,1.977563
GaN,Y,0.056,v0,Ga,2,N,Ga-N,1,1.959291
GaN,Y,0.056,v0,Ga,2,N,Ga-N,2,1.959293
GaN,Y,0.056,v0,Ga,2,N,Ga-N,3,1.959914
GaN,Y,0.056,v0,Ga,2,N,Ga-N,4,1.966455
GaN,Y,0.056,v0,Ga,3,N,Ga-N,1,1.940775
GaN,Y,0.056,v0,Ga,3,N,Ga-N,2,1.958222
GaN,Y,0.056,v0,Ga,3,N,Ga-N,3,1.959717
GaN,Y,0.056,v0,Ga,3,N,Ga-N,4,1.963177
GaN,Y,0.056,v0,Ga,4,N,Ga-N,1,1.917908
GaN,Y,0.056,v0,Ga,4,N,Ga-N,2,1.926034
GaN,Y,0.056,v0,Ga,4,N,Ga-N,3,1.962335
GaN,Y,0.056,v0,Ga,4,N,Ga-N,4,1.972941
GaN,Y,0.056,v0,Ga,5,N,Ga-N,1,1.955422
GaN,Y,0.056,v0,Ga,5,N,Ga-N,2,1.955425
GaN,Y,0.056,v0,Ga,5,N,Ga-N,3,1.959155
GaN,Y,0.056,v0,Ga,5,N,Ga-N,4,1.968234
GaN,Y,0.056,v0,Ga,6,N,Ga-N,1,1.937595
GaN,Y,0.056,v0,Ga,6,N,Ga-N,2,1.950789
GaN,Y,0.056,v0,Ga,6,N,Ga-N,3,1.955834
GaN,Y,0.056,v0,Ga,6,N,Ga-N,4,1.964493
GaN,Y,0.056,v0,Ga,7,N,Ga-N,1,1.940776
GaN,Y,0.056,v0,Ga,7,N,Ga-N,2,1.958219
GaN,Y,0.056,v0,Ga,7,N,Ga-N,3,1.959717
GaN,Y,0.056,v0,Ga,7,N,Ga-N,4,1.963182
GaN,Y,0.056,v0,Ga,8,N,Ga-N,1,1.958335
GaN,Y,0.056,v0,Ga,8,N,Ga-N,2,1.958637
GaN,Y,0.056,v0,Ga,8,N,Ga-N,3,1.95864
GaN,Y,0.056,v0,Ga,8,N,Ga-N,4,1.958887
GaN,Y,0.056,v0,Ga,9,N,Ga-N,1,1.910431
GaN,Y,0.056,v0,Ga,9,N,Ga-N,2,1.921079
GaN,Y,0.056,v0,Ga,9,N,Ga-N,3,1.96015
GaN,Y,0.056,v0,Ga,9,N,Ga-N,4,1.977564
GaN,Y,0.056,v0,Ga,10,N,Ga-N,1,1.937592
GaN,Y,0.056,v0,Ga,10,N,Ga-N,2,1.950794
GaN,Y,0.056,v0,Ga,10,N,Ga-N,3,1.95583
GaN,Y,0.056,v0,Ga,10,N,Ga-N,4,1.964493
GaN,Y,0.056,v0,Ga,11,N,Ga-N,1,1.957726
GaN,Y,0.056,v0,Ga,11,N,Ga-N,2,1.961248
GaN,Y,0.056,v0,Ga,11,N,Ga-N,3,1.962298
GaN,Y,0.056,v0,Ga,11,N,Ga-N,4,1.962301
GaN,Y,0.056,v0,Ga,12,N,Ga-N,1,1.917905
GaN,Y,0.056,v0,Ga,12,N,Ga-N,2,1.926038
GaN,Y,0.056,v0,Ga,12,N,Ga-N,3,1.962337
GaN,Y,0.056,v0,Ga,12,N,Ga-N,4,1.972937
