base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
InN,B,0.056,v0,In,1,N-In-N,1-2,109.5312
InN,B,0.056,v0,In,1,N-In-N,1-3,106.3759
InN,B,0.056,v0,In,1,N-In-N,1-4,118.4168
InN,B,0.056,v0,In,1,N-In-N,2-3,109.073
InN,B,0.056,v0,In,1,N-In-N,2-4,108.4247
InN,B,0.056,v0,In,1,N-In-N,3-4,104.6257
InN,B,0.056,v0,In,2,N-In-N,1-2,108.9347
InN,B,0.056,v0,In,2,N-In-N,1-3,108.6893
InN,B,0.056,v0,In,2,N-In-N,1-4,111.0511
InN,B,0.056,v0,In,2,N-In-N,2-3,108.69
InN,B,0.056,v0,In,2,N-In-N,2-4,111.0508
InN,B,0.056,v0,In,2,N-In-N,3-4,108.3635
InN,B,0.056,v0,In,3,N-In-N,1-2,111.0078
InN,B,0.056,v0,In,3,N-In-N,1-3,107.2739
InN,B,0.056,v0,In,3,N-In-N,1-4,108.2978
InN,B,0.056,v0,In,3,N-In-N,2-3,111.0388
InN,B,0.056,v0,In,3,N-In-N,2-4,111.3778
InN,B,0.056,v0,In,3,N-In-N,3-4,107.6756
InN,B,0.056,v0,In,4,N-In-N,1-2,109.3785
InN,B,0.056,v0,In,4,N-In-N,1-3,104.607
InN,B,0.056,v0,In,4,N-In-N,1-4,119.416
InN,B,0.056,v0,In,4,N-In-N,2-3,109.4009
InN,B,0.056,v0,In,4,N-In-N,2-4,106.4808
InN,B,0.056,v0,In,4,N-In-N,3-4,107.293
InN,B,0.056,v0,In,5,N-In-N,1-2,112.1843
InN,B,0.056,v0,In,5,N-In-N,1-3,107.3613
InN,B,0.056,v0,In,5,N-In-N,1-4,110.2385
InN,B,0.056,v0,In,5,N-In-N,2-3,107.3615
InN,B,0.056,v0,In,5,N-In-N,2-4,110.2384
InN,B,0.056,v0,In,5,N-In-N,3-4,109.3396
InN,B,0.056,v0,In,6,N-In-N,1-2,108.5418
InN,B,0.056,v0,In,6,N-In-N,1-3,107.566
InN,B,0.056,v0,In,6,N-In-N,1-4,110.319
InN,B,0.056,v0,In,6,N-In-N,2-3,107.6418
InN,B,0.056,v0,In,6,N-In-N,2-4,112.1083
InN,B,0.056,v0,In,6,N-In-N,3-4,110.5112
InN,B,0.056,v0,In,7,N-In-N,1-2,111.0073
InN,B,0.056,v0,In,7,N-In-N,1-3,107.2727
InN,B,0.056,v0,In,7,N-In-N,1-4,108.2977
InN,B,0.056,v0,In,7,N-In-N,2-3,111.0388
InN,B,0.056,v0,In,7,N-In-N,2-4,111.3787
InN,B,0.056,v0,In,7,N-In-N,3-4,107.6765
InN,B,0.056,v0,In,8,N-In-N,1-2,108.9223
