base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
InN,B,0.056,v0,In,1,N,In-N,1,2.098022
InN,B,0.056,v0,In,1,N,In-N,2,2.125156
InN,B,0.056,v0,In,1,N,In-N,3,2.13627
InN,B,0.056,v0,In,1,N,In-N,4,2.226297
InN,B,0.056,v0,In,2,N,In-N,1,2.137611
InN,B,0.056,v0,In,2,N,In-N,2,2.137611
InN,B,0.056,v0,In,2,N,In-N,3,2.143476
InN,B,0.056,v0,In,2,N,In-N,4,2.149573
InN,B,0.056,v0,In,3,N,In-N,1,2.144595
InN,B,0.056,v0,In,3,N,In-N,2,2.15089
InN,B,0.056,v0,In,3,N,In-N,3,2.160204
InN,B,0.056,v0,In,3,N,In-N,4,2.160308
InN,B,0.056,v0,In,4,N,In-N,1,2.125077
InN,B,0.056,v0,In,4,N,In-N,2,2.130309
InN,B,0.056,v0,In,4,N,In-N,3,2.142366
InN,B,0.056,v0,In,4,N,In-N,4,2.209
InN,B,0.056,v0,In,5,N,In-N,1,2.136111
InN,B,0.056,v0,In,5,N,In-N,2,2.136114
InN,B,0.056,v0,In,5,N,In-N,3,2.150883
InN,B,0.056,v0,In,5,N,In-N,4,2.157904
InN,B,0.056,v0,In,6,N,In-N,1,2.140932
InN,B,0.056,v0,In,6,N,In-N,2,2.14224
InN,B,0.056,v0,In,6,N,In-N,3,2.157824
InN,B,0.056,v0,In,6,N,In-N,4,2.166722
InN,B,0.056,v0,In,7,N,In-N,1,2.144599
InN,B,0.056,v0,In,7,N,In-N,2,2.150887
InN,B,0.056,v0,In,7,N,In-N,3,2.160205
InN,B,0.056,v0,In,7,N,In-N,4,2.160306
InN,B,0.056,v0,In,8,N,In-N,1,2.144983
InN,B,0.056,v0,In,8,N,In-N,2,2.144989
InN,B,0.056,v0,In,8,N,In-N,3,2.147151
InN,B,0.056,v0,In,8,N,In-N,4,2.159084
InN,B,0.056,v0,In,9,N,In-N,1,2.098021
InN,B,0.056,v0,In,9,N,In-N,2,2.12516
InN,B,0.056,v0,In,9,N,In-N,3,2.136266
InN,B,0.056,v0,In,9,N,In-N,4,2.226293
InN,B,0.056,v0,In,10,N,In-N,1,2.140924
InN,B,0.056,v0,In,10,N,In-N,2,2.142238
InN,B,0.056,v0,In,10,N,In-N,3,2.157825
InN,B,0.056,v0,In,10,N,In-N,4,2.166728
InN,B,0.056,v0,In,11,N,In-N,1,2.142146
InN,B,0.056,v0,In,11,N,In-N,2,2.149986
InN,B,0.056,v0,In,11,N,In-N,3,2.14999
InN,B,0.056,v0,In,11,N,In-N,4,2.151278
InN,B,0.056,v0,In,12,N,In-N,1,2.125074
InN,B,0.056,v0,In,12,N,In-N,2,2.130312
InN,B,0.056,v0,In,12,N,In-N,3,2.142369
InN,B,0.056,v0,In,12,N,In-N,4,2.208997
InN,B,0.056,v0,In,13,N,In-N,1,2.142122
InN,B,0.056,v0,In,13,N,In-N,2,2.146675
InN,B,0.056,v0,In,13,N,In-N,3,2.146676
InN,B,0.056,v0,In,13,N,In-N,4,2.166622
InN,B,0.056,v0,In,14,N,In-N,1,2.144714
InN,B,0.056,v0,In,14,N,In-N,2,2.146157
InN,B,0.056,v0,In,14,N,In-N,3,2.157683
InN,B,0.056,v0,In,14,N,In-N,4,2.176648
InN,B,0.056,v0,In,15,N,In-N,1,2.153913
InN,B,0.056,v0,In,15,N,In-N,2,2.155891
InN,B,0.056,v0,In,15,N,In-N,3,2.158389
InN,B,0.056,v0,In,15,N,In-N,4,2.192276
InN,B,0.056,v0,In,16,N,In-N,1,2.095385
InN,B,0.056,v0,In,16,N,In-N,2,2.134527
InN,B,0.056,v0,In,16,N,In-N,3,2.157783
InN,B,0.056,v0,In,16,N,In-N,4,2.182756
InN,B,0.056,v0,In,17,N,In-N,1,2.144708
InN,B,0.056,v0,In,17,N,In-N,2,2.146157
InN,B,0.056,v0,In,17,N,In-N,3,2.157685
InN,B,0.056,v0,In,17,N,In-N,4,2.176648
InN,B,0.056,v0,In,18,N,In-N,1,2.143599
InN,B,0.056,v0,In,18,N,In-N,2,2.147905
InN,B,0.056,v0,In,18,N,In-N,3,2.15307
InN,B,0.056,v0,In,18,N,In-N,4,2.153075
InN,B,0.056,v0,In,19,N,In-N,1,2.136857
InN,B,0.056,v0,In,19,N,In-N,2,2.138511
InN,B,0.056,v0,In,19,N,In-N,3,2.217542
InN,B,0.056,v0,In,19,N,In-N,4,2.285708
InN,B,0.056,v0,In,20,N,In-N,1,2.095379
InN,B,0.056,v0,In,20,N,In-N,2,2.134528
InN,B,0.056,v0,In,20,N,In-N,3,2.157787
InN,B,0.056,v0,In,20,N,In-N,4,2.182763
InN,B,0.056,v0,In,21,N,In-N,1,2.136191
InN,B,0.056,v0,In,21,N,In-N,2,2.136193
InN,B,0.056,v0,In,21,N,In-N,3,2.14188
InN,B,0.056,v0,In,21,N,In-N,4,2.277985
InN,B,0.056,v0,In,22,N,In-N,1,2.153917
InN,B,0.056,v0,In,22,N,In-N,2,2.155889
InN,B,0.056,v0,In,22,N,In-N,3,2.15838
InN,B,0.056,v0,In,22,N,In-N,4,2.192272
InN,B,0.056,v0,In,23,N,In-N,1,2.136853
InN,B,0.056,v0,In,23,N,In-N,2,2.138515
InN,B,0.056,v0,In,23,N,In-N,3,2.217547
InN,B,0.056,v0,In,23,N,In-N,4,2.285695
InN,B,0.056,v0,In,24,N,In-N,1,2.132211
InN,B,0.056,v0,In,24,N,In-N,2,2.134446
InN,B,0.056,v0,In,24,N,In-N,3,2.203449
InN,B,0.056,v0,In,24,N,In-N,4,2.282674
InN,B,0.056,v0,In,25,N,In-N,1,2.129411
InN,B,0.056,v0,In,25,N,In-N,2,2.131894
InN,B,0.056,v0,In,25,N,In-N,3,2.136927
InN,B,0.056,v0,In,25,N,In-N,4,2.217671
InN,B,0.056,v0,In,26,N,In-N,1,2.054093
