base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
InN,La,0.056,v0,In,1,N-In-N,1-2,107.2687
InN,La,0.056,v0,In,1,N-In-N,1-3,108.6974
InN,La,0.056,v0,In,1,N-In-N,1-4,111.5066
InN,La,0.056,v0,In,1,N-In-N,2-3,109.3993
InN,La,0.056,v0,In,1,N-In-N,2-4,112.1685
InN,La,0.056,v0,In,1,N-In-N,3-4,107.7452
InN,La,0.056,v0,In,2,N-In-N,1-2,108.3456
InN,La,0.056,v0,In,2,N-In-N,1-3,108.1829
InN,La,0.056,v0,In,2,N-In-N,1-4,108.1828
InN,La,0.056,v0,In,2,N-In-N,2-3,110.8334
InN,La,0.056,v0,In,2,N-In-N,2-4,110.8333
InN,La,0.056,v0,In,2,N-In-N,3-4,110.3623
InN,La,0.056,v0,In,3,N-In-N,1-2,107.109
InN,La,0.056,v0,In,3,N-In-N,1-3,109.2957
InN,La,0.056,v0,In,3,N-In-N,1-4,108.2476
InN,La,0.056,v0,In,3,N-In-N,2-3,109.067
InN,La,0.056,v0,In,3,N-In-N,2-4,111.5429
InN,La,0.056,v0,In,3,N-In-N,3-4,111.459
InN,La,0.056,v0,In,4,N-In-N,1-2,104.8415
InN,La,0.056,v0,In,4,N-In-N,1-3,109.5642
InN,La,0.056,v0,In,4,N-In-N,1-4,111.8526
InN,La,0.056,v0,In,4,N-In-N,2-3,110.6362
InN,La,0.056,v0,In,4,N-In-N,2-4,112.2094
InN,La,0.056,v0,In,4,N-In-N,3-4,107.7391
InN,La,0.056,v0,In,5,N-In-N,1-2,111.475
InN,La,0.056,v0,In,5,N-In-N,1-3,111.4749
InN,La,0.056,v0,In,5,N-In-N,1-4,107.7679
InN,La,0.056,v0,In,5,N-In-N,2-3,110.6757
InN,La,0.056,v0,In,5,N-In-N,2-4,107.6236
InN,La,0.056,v0,In,5,N-In-N,3-4,107.6236
InN,La,0.056,v0,In,6,N-In-N,1-2,108.1799
InN,La,0.056,v0,In,6,N-In-N,1-3,106.4862
InN,La,0.056,v0,In,6,N-In-N,1-4,107.8101
InN,La,0.056,v0,In,6,N-In-N,2-3,111.3771
InN,La,0.056,v0,In,6,N-In-N,2-4,111.3987
InN,La,0.056,v0,In,6,N-In-N,3-4,111.3469
InN,La,0.056,v0,In,7,N-In-N,1-2,107.1089
InN,La,0.056,v0,In,7,N-In-N,1-3,109.2958
InN,La,0.056,v0,In,7,N-In-N,1-4,108.2476
InN,La,0.056,v0,In,7,N-In-N,2-3,109.067
