base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
InN,La,0.056,v0,In,1,N,In-N,1,2.139519
InN,La,0.056,v0,In,1,N,In-N,2,2.142442
InN,La,0.056,v0,In,1,N,In-N,3,2.171616
InN,La,0.056,v0,In,1,N,In-N,4,2.176723
InN,La,0.056,v0,In,2,N,In-N,1,2.167816
InN,La,0.056,v0,In,2,N,In-N,2,2.168139
InN,La,0.056,v0,In,2,N,In-N,3,2.169507
InN,La,0.056,v0,In,2,N,In-N,4,2.169508
InN,La,0.056,v0,In,3,N,In-N,1,2.151319
InN,La,0.056,v0,In,3,N,In-N,2,2.160807
InN,La,0.056,v0,In,3,N,In-N,3,2.164024
InN,La,0.056,v0,In,3,N,In-N,4,2.169551
InN,La,0.056,v0,In,4,N,In-N,1,2.132572
InN,La,0.056,v0,In,4,N,In-N,2,2.135736
InN,La,0.056,v0,In,4,N,In-N,3,2.170117
InN,La,0.056,v0,In,4,N,In-N,4,2.179966
InN,La,0.056,v0,In,5,N,In-N,1,2.163175
InN,La,0.056,v0,In,5,N,In-N,2,2.164318
InN,La,0.056,v0,In,5,N,In-N,3,2.164319
InN,La,0.056,v0,In,5,N,In-N,4,2.167963
InN,La,0.056,v0,In,6,N,In-N,1,2.154208
InN,La,0.056,v0,In,6,N,In-N,2,2.166314
InN,La,0.056,v0,In,6,N,In-N,3,2.168909
InN,La,0.056,v0,In,6,N,In-N,4,2.171461
InN,La,0.056,v0,In,7,N,In-N,1,2.151319
InN,La,0.056,v0,In,7,N,In-N,2,2.160809
InN,La,0.056,v0,In,7,N,In-N,3,2.164024
InN,La,0.056,v0,In,7,N,In-N,4,2.169549
InN,La,0.056,v0,In,8,N,In-N,1,2.160152
InN,La,0.056,v0,In,8,N,In-N,2,2.160152
InN,La,0.056,v0,In,8,N,In-N,3,2.164748
InN,La,0.056,v0,In,8,N,In-N,4,2.176006
InN,La,0.056,v0,In,9,N,In-N,1,2.139517
InN,La,0.056,v0,In,9,N,In-N,2,2.142443
InN,La,0.056,v0,In,9,N,In-N,3,2.171616
InN,La,0.056,v0,In,9,N,In-N,4,2.176724
InN,La,0.056,v0,In,10,N,In-N,1,2.154208
InN,La,0.056,v0,In,10,N,In-N,2,2.166316
InN,La,0.056,v0,In,10,N,In-N,3,2.168909
InN,La,0.056,v0,In,10,N,In-N,4,2.171461
InN,La,0.056,v0,In,11,N,In-N,1,2.165791
InN,La,0.056,v0,In,11,N,In-N,2,2.165792
InN,La,0.056,v0,In,11,N,In-N,3,2.168327
InN,La,0.056,v0,In,11,N,In-N,4,2.175516
InN,La,0.056,v0,In,12,N,In-N,1,2.132572
InN,La,0.056,v0,In,12,N,In-N,2,2.135736
InN,La,0.056,v0,In,12,N,In-N,3,2.170116
InN,La,0.056,v0,In,12,N,In-N,4,2.179965
InN,La,0.056,v0,In,13,N,In-N,1,2.161354
InN,La,0.056,v0,In,13,N,In-N,2,2.172918
InN,La,0.056,v0,In,13,N,In-N,3,2.175876
InN,La,0.056,v0,In,13,N,In-N,4,2.175876
InN,La,0.056,v0,In,14,N,In-N,1,2.156888
InN,La,0.056,v0,In,14,N,In-N,2,2.165871
InN,La,0.056,v0,In,14,N,In-N,3,2.167141
InN,La,0.056,v0,In,14,N,In-N,4,2.167557
InN,La,0.056,v0,In,15,N,In-N,1,2.14726
InN,La,0.056,v0,In,15,N,In-N,2,2.152779
