base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
InN,Sc,0.056,v0,In,1,N-In-N,1-2,110.5164
InN,Sc,0.056,v0,In,1,N-In-N,1-3,108.1073
InN,Sc,0.056,v0,In,1,N-In-N,1-4,112.2103
InN,Sc,0.056,v0,In,1,N-In-N,2-3,108.1804
InN,Sc,0.056,v0,In,1,N-In-N,2-4,110.2522
InN,Sc,0.056,v0,In,1,N-In-N,3-4,107.4186
InN,Sc,0.056,v0,In,2,N-In-N,1-2,110.7715
InN,Sc,0.056,v0,In,2,N-In-N,1-3,110.7715
InN,Sc,0.056,v0,In,2,N-In-N,1-4,108.1998
InN,Sc,0.056,v0,In,2,N-In-N,2-3,110.746
InN,Sc,0.056,v0,In,2,N-In-N,2-4,108.1196
InN,Sc,0.056,v0,In,2,N-In-N,3-4,108.1195
InN,Sc,0.056,v0,In,3,N-In-N,1-2,110.6108
InN,Sc,0.056,v0,In,3,N-In-N,1-3,110.588
InN,Sc,0.056,v0,In,3,N-In-N,1-4,108.146
InN,Sc,0.056,v0,In,3,N-In-N,2-3,111.0495
InN,Sc,0.056,v0,In,3,N-In-N,2-4,108.0783
InN,Sc,0.056,v0,In,3,N-In-N,3-4,108.257
InN,Sc,0.056,v0,In,4,N-In-N,1-2,110.4896
InN,Sc,0.056,v0,In,4,N-In-N,1-3,108.1783
InN,Sc,0.056,v0,In,4,N-In-N,1-4,110.2788
InN,Sc,0.056,v0,In,4,N-In-N,2-3,108.0417
InN,Sc,0.056,v0,In,4,N-In-N,2-4,112.417
InN,Sc,0.056,v0,In,4,N-In-N,3-4,107.267
InN,Sc,0.056,v0,In,5,N-In-N,1-2,110.7726
InN,Sc,0.056,v0,In,5,N-In-N,1-3,110.8445
InN,Sc,0.056,v0,In,5,N-In-N,1-4,108.0671
InN,Sc,0.056,v0,In,5,N-In-N,2-3,110.8445
InN,Sc,0.056,v0,In,5,N-In-N,2-4,108.067
InN,Sc,0.056,v0,In,5,N-In-N,3-4,108.1229
InN,Sc,0.056,v0,In,6,N-In-N,1-2,110.6713
InN,Sc,0.056,v0,In,6,N-In-N,1-3,110.6096
InN,Sc,0.056,v0,In,6,N-In-N,1-4,108.1749
InN,Sc,0.056,v0,In,6,N-In-N,2-3,110.8377
InN,Sc,0.056,v0,In,6,N-In-N,2-4,108.0099
InN,Sc,0.056,v0,In,6,N-In-N,3-4,108.4333
InN,Sc,0.056,v0,In,7,N-In-N,1-2,110.6108
InN,Sc,0.056,v0,In,7,N-In-N,1-3,110.588
InN,Sc,0.056,v0,In,7,N-In-N,1-4,108.1459
InN,Sc,0.056,v0,In,7,N-In-N,2-3,111.0495
InN,Sc,0.056,v0,In,7,N-In-N,2-4,108.0784
InN,Sc,0.056,v0,In,7,N-In-N,3-4,108.2569
InN,Sc,0.056,v0,In,8,N-In-N,1-2,108.0104
InN,Sc,0.056,v0,In,8,N-In-N,1-3,110.9791
InN,Sc,0.056,v0,In,8,N-In-N,1-4,110.9794
InN,Sc,0.056,v0,In,8,N-In-N,2-3,108.0546
InN,Sc,0.056,v0,In,8,N-In-N,2-4,108.0548
InN,Sc,0.056,v0,In,8,N-In-N,3-4,110.6328
InN,Sc,0.056,v0,In,9,N-In-N,1-2,110.5163
InN,Sc,0.056,v0,In,9,N-In-N,1-3,108.1073
InN,Sc,0.056,v0,In,9,N-In-N,1-4,112.2104
InN,Sc,0.056,v0,In,9,N-In-N,2-3,108.1804
InN,Sc,0.056,v0,In,9,N-In-N,2-4,110.2522
InN,Sc,0.056,v0,In,9,N-In-N,3-4,107.4186
InN,Sc,0.056,v0,In,10,N-In-N,1-2,110.6712
InN,Sc,0.056,v0,In,10,N-In-N,1-3,110.6096
InN,Sc,0.056,v0,In,10,N-In-N,1-4,108.1749
InN,Sc,0.056,v0,In,10,N-In-N,2-3,110.8377
InN,Sc,0.056,v0,In,10,N-In-N,2-4,108.0098
InN,Sc,0.056,v0,In,10,N-In-N,3-4,108.4333
InN,Sc,0.056,v0,In,11,N-In-N,1-2,110.8623
InN,Sc,0.056,v0,In,11,N-In-N,1-3,110.8624
InN,Sc,0.056,v0,In,11,N-In-N,1-4,108.1581
InN,Sc,0.056,v0,In,11,N-In-N,2-3,110.7219
InN,Sc,0.056,v0,In,11,N-In-N,2-4,108.0573
InN,Sc,0.056,v0,In,11,N-In-N,3-4,108.0572
InN,Sc,0.056,v0,In,12,N-In-N,1-2,110.4897
InN,Sc,0.056,v0,In,12,N-In-N,1-3,108.1783
InN,Sc,0.056,v0,In,12,N-In-N,1-4,110.2789
InN,Sc,0.056,v0,In,12,N-In-N,2-3,108.0417
InN,Sc,0.056,v0,In,12,N-In-N,2-4,112.4167
InN,Sc,0.056,v0,In,12,N-In-N,3-4,107.2671
InN,Sc,0.056,v0,In,13,N-In-N,1-2,110.6834
