base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
InN,Sc,0.056,v0,In,1,N,In-N,1,2.154339
InN,Sc,0.056,v0,In,1,N,In-N,2,2.156024
InN,Sc,0.056,v0,In,1,N,In-N,3,2.158715
InN,Sc,0.056,v0,In,1,N,In-N,4,2.15961
InN,Sc,0.056,v0,In,2,N,In-N,1,2.153929
InN,Sc,0.056,v0,In,2,N,In-N,2,2.154
InN,Sc,0.056,v0,In,2,N,In-N,3,2.154
InN,Sc,0.056,v0,In,2,N,In-N,4,2.159506
InN,Sc,0.056,v0,In,3,N,In-N,1,2.153431
InN,Sc,0.056,v0,In,3,N,In-N,2,2.155466
InN,Sc,0.056,v0,In,3,N,In-N,3,2.15567
InN,Sc,0.056,v0,In,3,N,In-N,4,2.162634
InN,Sc,0.056,v0,In,4,N,In-N,1,2.155655
InN,Sc,0.056,v0,In,4,N,In-N,2,2.155722
InN,Sc,0.056,v0,In,4,N,In-N,3,2.160026
InN,Sc,0.056,v0,In,4,N,In-N,4,2.160367
InN,Sc,0.056,v0,In,5,N,In-N,1,2.155827
InN,Sc,0.056,v0,In,5,N,In-N,2,2.155829
InN,Sc,0.056,v0,In,5,N,In-N,3,2.155837
InN,Sc,0.056,v0,In,5,N,In-N,4,2.157873
InN,Sc,0.056,v0,In,6,N,In-N,1,2.154056
InN,Sc,0.056,v0,In,6,N,In-N,2,2.154446
InN,Sc,0.056,v0,In,6,N,In-N,3,2.155106
InN,Sc,0.056,v0,In,6,N,In-N,4,2.161321
InN,Sc,0.056,v0,In,7,N,In-N,1,2.153429
InN,Sc,0.056,v0,In,7,N,In-N,2,2.155467
InN,Sc,0.056,v0,In,7,N,In-N,3,2.15567
InN,Sc,0.056,v0,In,7,N,In-N,4,2.162635
InN,Sc,0.056,v0,In,8,N,In-N,1,2.156469
InN,Sc,0.056,v0,In,8,N,In-N,2,2.156783
InN,Sc,0.056,v0,In,8,N,In-N,3,2.157345
InN,Sc,0.056,v0,In,8,N,In-N,4,2.157345
InN,Sc,0.056,v0,In,9,N,In-N,1,2.154339
InN,Sc,0.056,v0,In,9,N,In-N,2,2.156022
InN,Sc,0.056,v0,In,9,N,In-N,3,2.158716
InN,Sc,0.056,v0,In,9,N,In-N,4,2.159608
InN,Sc,0.056,v0,In,10,N,In-N,1,2.154056
InN,Sc,0.056,v0,In,10,N,In-N,2,2.154446
InN,Sc,0.056,v0,In,10,N,In-N,3,2.155105
InN,Sc,0.056,v0,In,10,N,In-N,4,2.161322
InN,Sc,0.056,v0,In,11,N,In-N,1,2.154611
InN,Sc,0.056,v0,In,11,N,In-N,2,2.155492
InN,Sc,0.056,v0,In,11,N,In-N,3,2.155494
InN,Sc,0.056,v0,In,11,N,In-N,4,2.158435
InN,Sc,0.056,v0,In,12,N,In-N,1,2.155657
InN,Sc,0.056,v0,In,12,N,In-N,2,2.155723
InN,Sc,0.056,v0,In,12,N,In-N,3,2.160027
InN,Sc,0.056,v0,In,12,N,In-N,4,2.160365
InN,Sc,0.056,v0,In,13,N,In-N,1,2.15512
InN,Sc,0.056,v0,In,13,N,In-N,2,2.155122
InN,Sc,0.056,v0,In,13,N,In-N,3,2.155228
InN,Sc,0.056,v0,In,13,N,In-N,4,2.159001
InN,Sc,0.056,v0,In,14,N,In-N,1,2.153831
InN,Sc,0.056,v0,In,14,N,In-N,2,2.154149
InN,Sc,0.056,v0,In,14,N,In-N,3,2.155285
InN,Sc,0.056,v0,In,14,N,In-N,4,2.161574
InN,Sc,0.056,v0,In,15,N,In-N,1,2.152871
InN,Sc,0.056,v0,In,15,N,In-N,2,2.153242
InN,Sc,0.056,v0,In,15,N,In-N,3,2.159778
InN,Sc,0.056,v0,In,15,N,In-N,4,2.1731
InN,Sc,0.056,v0,In,16,N,In-N,1,2.156713
InN,Sc,0.056,v0,In,16,N,In-N,2,2.157094
InN,Sc,0.056,v0,In,16,N,In-N,3,2.16213
InN,Sc,0.056,v0,In,16,N,In-N,4,2.167947
InN,Sc,0.056,v0,In,17,N,In-N,1,2.153833
InN,Sc,0.056,v0,In,17,N,In-N,2,2.15415
InN,Sc,0.056,v0,In,17,N,In-N,3,2.155282
InN,Sc,0.056,v0,In,17,N,In-N,4,2.161572
InN,Sc,0.056,v0,In,18,N,In-N,1,2.153613
InN,Sc,0.056,v0,In,18,N,In-N,2,2.154994
InN,Sc,0.056,v0,In,18,N,In-N,3,2.154995
InN,Sc,0.056,v0,In,18,N,In-N,4,2.160505
InN,Sc,0.056,v0,In,19,N,In-N,1,2.154558
InN,Sc,0.056,v0,In,19,N,In-N,2,2.156997
InN,Sc,0.056,v0,In,19,N,In-N,3,2.157823
