base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
InN,Y,0.056,v0,In,1,N-In-N,1-2,109.3309
InN,Y,0.056,v0,In,1,N-In-N,1-3,108.1952
InN,Y,0.056,v0,In,1,N-In-N,1-4,111.0346
InN,Y,0.056,v0,In,1,N-In-N,2-3,108.783
InN,Y,0.056,v0,In,1,N-In-N,2-4,111.4059
InN,Y,0.056,v0,In,1,N-In-N,3-4,108.0018
InN,Y,0.056,v0,In,2,N-In-N,1-2,110.7983
InN,Y,0.056,v0,In,2,N-In-N,1-3,110.7983
InN,Y,0.056,v0,In,2,N-In-N,1-4,108.298
InN,Y,0.056,v0,In,2,N-In-N,2-3,110.6792
InN,Y,0.056,v0,In,2,N-In-N,2-4,108.0773
InN,Y,0.056,v0,In,2,N-In-N,3-4,108.0772
InN,Y,0.056,v0,In,3,N-In-N,1-2,107.6701
InN,Y,0.056,v0,In,3,N-In-N,1-3,108.6363
InN,Y,0.056,v0,In,3,N-In-N,1-4,108.0548
InN,Y,0.056,v0,In,3,N-In-N,2-3,110.073
InN,Y,0.056,v0,In,3,N-In-N,2-4,111.1438
InN,Y,0.056,v0,In,3,N-In-N,3-4,111.1435
InN,Y,0.056,v0,In,4,N-In-N,1-2,108.1521
InN,Y,0.056,v0,In,4,N-In-N,1-3,108.5777
InN,Y,0.056,v0,In,4,N-In-N,1-4,111.2174
InN,Y,0.056,v0,In,4,N-In-N,2-3,109.4777
InN,Y,0.056,v0,In,4,N-In-N,2-4,111.4765
InN,Y,0.056,v0,In,4,N-In-N,3-4,107.8918
InN,Y,0.056,v0,In,5,N-In-N,1-2,111.1754
InN,Y,0.056,v0,In,5,N-In-N,1-3,111.1752
InN,Y,0.056,v0,In,5,N-In-N,1-4,108.0179
InN,Y,0.056,v0,In,5,N-In-N,2-3,110.813
InN,Y,0.056,v0,In,5,N-In-N,2-4,107.7464
InN,Y,0.056,v0,In,5,N-In-N,3-4,107.7464
InN,Y,0.056,v0,In,6,N-In-N,1-2,108.1712
InN,Y,0.056,v0,In,6,N-In-N,1-3,107.7858
InN,Y,0.056,v0,In,6,N-In-N,1-4,107.3901
InN,Y,0.056,v0,In,6,N-In-N,2-3,111.1305
InN,Y,0.056,v0,In,6,N-In-N,2-4,111.0724
InN,Y,0.056,v0,In,6,N-In-N,3-4,111.1141
InN,Y,0.056,v0,In,7,N-In-N,1-2,107.6701
InN,Y,0.056,v0,In,7,N-In-N,1-3,108.6362
InN,Y,0.056,v0,In,7,N-In-N,1-4,108.0548
InN,Y,0.056,v0,In,7,N-In-N,2-3,110.0729
InN,Y,0.056,v0,In,7,N-In-N,2-4,111.1438
InN,Y,0.056,v0,In,7,N-In-N,3-4,111.1437
InN,Y,0.056,v0,In,8,N-In-N,1-2,110.8754
InN,Y,0.056,v0,In,8,N-In-N,1-3,110.7086
InN,Y,0.056,v0,In,8,N-In-N,1-4,108.2532
InN,Y,0.056,v0,In,8,N-In-N,2-3,110.7087
InN,Y,0.056,v0,In,8,N-In-N,2-4,108.2531
InN,Y,0.056,v0,In,8,N-In-N,3-4,107.928
InN,Y,0.056,v0,In,9,N-In-N,1-2,109.331
InN,Y,0.056,v0,In,9,N-In-N,1-3,108.1952
InN,Y,0.056,v0,In,9,N-In-N,1-4,111.0345
