base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
InN,Y,0.056,v0,In,1,N,In-N,1,2.146079
InN,Y,0.056,v0,In,1,N,In-N,2,2.147509
InN,Y,0.056,v0,In,1,N,In-N,3,2.165273
InN,Y,0.056,v0,In,1,N,In-N,4,2.167597
InN,Y,0.056,v0,In,2,N,In-N,1,2.161009
InN,Y,0.056,v0,In,2,N,In-N,2,2.161734
InN,Y,0.056,v0,In,2,N,In-N,3,2.161735
InN,Y,0.056,v0,In,2,N,In-N,4,2.163735
InN,Y,0.056,v0,In,3,N,In-N,1,2.157178
InN,Y,0.056,v0,In,3,N,In-N,2,2.159264
InN,Y,0.056,v0,In,3,N,In-N,3,2.159809
InN,Y,0.056,v0,In,3,N,In-N,4,2.162043
InN,Y,0.056,v0,In,4,N,In-N,1,2.141659
InN,Y,0.056,v0,In,4,N,In-N,2,2.144281
InN,Y,0.056,v0,In,4,N,In-N,3,2.166185
InN,Y,0.056,v0,In,4,N,In-N,4,2.169229
InN,Y,0.056,v0,In,5,N,In-N,1,2.159804
InN,Y,0.056,v0,In,5,N,In-N,2,2.160617
InN,Y,0.056,v0,In,5,N,In-N,3,2.160618
InN,Y,0.056,v0,In,5,N,In-N,4,2.163387
InN,Y,0.056,v0,In,6,N,In-N,1,2.156865
InN,Y,0.056,v0,In,6,N,In-N,2,2.160633
InN,Y,0.056,v0,In,6,N,In-N,3,2.162215
InN,Y,0.056,v0,In,6,N,In-N,4,2.163251
InN,Y,0.056,v0,In,7,N,In-N,1,2.157177
InN,Y,0.056,v0,In,7,N,In-N,2,2.159264
InN,Y,0.056,v0,In,7,N,In-N,3,2.159809
InN,Y,0.056,v0,In,7,N,In-N,4,2.162043
InN,Y,0.056,v0,In,8,N,In-N,1,2.159577
InN,Y,0.056,v0,In,8,N,In-N,2,2.159577
InN,Y,0.056,v0,In,8,N,In-N,3,2.161134
InN,Y,0.056,v0,In,8,N,In-N,4,2.166921
InN,Y,0.056,v0,In,9,N,In-N,1,2.146079
InN,Y,0.056,v0,In,9,N,In-N,2,2.147509
InN,Y,0.056,v0,In,9,N,In-N,3,2.165273
InN,Y,0.056,v0,In,9,N,In-N,4,2.167597
InN,Y,0.056,v0,In,10,N,In-N,1,2.156865
InN,Y,0.056,v0,In,10,N,In-N,2,2.160633
InN,Y,0.056,v0,In,10,N,In-N,3,2.162215
InN,Y,0.056,v0,In,10,N,In-N,4,2.163251
InN,Y,0.056,v0,In,11,N,In-N,1,2.160935
InN,Y,0.056,v0,In,11,N,In-N,2,2.160935
InN,Y,0.056,v0,In,11,N,In-N,3,2.162042
InN,Y,0.056,v0,In,11,N,In-N,4,2.167076
InN,Y,0.056,v0,In,12,N,In-N,1,2.14166
InN,Y,0.056,v0,In,12,N,In-N,2,2.144282
InN,Y,0.056,v0,In,12,N,In-N,3,2.166185
InN,Y,0.056,v0,In,12,N,In-N,4,2.169228
InN,Y,0.056,v0,In,13,N,In-N,1,2.160165
InN,Y,0.056,v0,In,13,N,In-N,2,2.164402
InN,Y,0.056,v0,In,13,N,In-N,3,2.166107
InN,Y,0.056,v0,In,13,N,In-N,4,2.166107
InN,Y,0.056,v0,In,14,N,In-N,1,2.158743
InN,Y,0.056,v0,In,14,N,In-N,2,2.160253
InN,Y,0.056,v0,In,14,N,In-N,3,2.160883
InN,Y,0.056,v0,In,14,N,In-N,4,2.162679
InN,Y,0.056,v0,In,15,N,In-N,1,2.152819
InN,Y,0.056,v0,In,15,N,In-N,2,2.153002
InN,Y,0.056,v0,In,15,N,In-N,3,2.154478
InN,Y,0.056,v0,In,15,N,In-N,4,2.177583
InN,Y,0.056,v0,In,16,N,In-N,1,2.14712
InN,Y,0.056,v0,In,16,N,In-N,2,2.15133
InN,Y,0.056,v0,In,16,N,In-N,3,2.169868
InN,Y,0.056,v0,In,16,N,In-N,4,2.171833
InN,Y,0.056,v0,In,17,N,In-N,1,2.158743
InN,Y,0.056,v0,In,17,N,In-N,2,2.160253
InN,Y,0.056,v0,In,17,N,In-N,3,2.160883
InN,Y,0.056,v0,In,17,N,In-N,4,2.162678
InN,Y,0.056,v0,In,18,N,In-N,1,2.160881
InN,Y,0.056,v0,In,18,N,In-N,2,2.160881
InN,Y,0.056,v0,In,18,N,In-N,3,2.162884
InN,Y,0.056,v0,In,18,N,In-N,4,2.164243
InN,Y,0.056,v0,In,19,N,In-N,1,2.142058
InN,Y,0.056,v0,In,19,N,In-N,2,2.14533
InN,Y,0.056,v0,In,19,N,In-N,3,2.166546
InN,Y,0.056,v0,In,19,N,In-N,4,2.169831
InN,Y,0.056,v0,In,20,N,In-N,1,2.147121
InN,Y,0.056,v0,In,20,N,In-N,2,2.15133
InN,Y,0.056,v0,In,20,N,In-N,3,2.169867
InN,Y,0.056,v0,In,20,N,In-N,4,2.171833
InN,Y,0.056,v0,In,21,N,In-N,1,2.157674
InN,Y,0.056,v0,In,21,N,In-N,2,2.169051
InN,Y,0.056,v0,In,21,N,In-N,3,2.169052
InN,Y,0.056,v0,In,21,N,In-N,4,2.191302
InN,Y,0.056,v0,In,22,N,In-N,1,2.152819
InN,Y,0.056,v0,In,22,N,In-N,2,2.153002
