distance,energy density (meV/angstrom^3)
0.0,0.0
0.013297,-0.001112
0.026655,-0.001112
0.040126,-0.001112
0.053745,-0.001204
0.067529,-0.001204
0.081473,-0.001112
0.095557,-0.001112
0.109759,-0.001112
0.124073,-0.001204
0.138531,-0.001204
0.153227,-0.001204
0.168321,-0.001112
0.184038,-0.001112
0.200663,-0.001204
0.218447,-0.001204
0.237668,-0.001204
0.258424,-0.000926
0.280771,0.000926
0.304153,0.047484
0.328431,0.240932
0.353393,0.591526
0.378883,1.097258
0.404747,1.742376
0.43089,2.505422
0.457202,3.367643
0.483576,4.293798
0.509851,5.25561
0.535907,6.215231
0.561565,7.14115
0.58675,8.00147
0.611344,8.773999
0.635379,9.44303
0.658908,9.994935
0.682111,10.434119
0.70521,10.756946
0.728485,10.963407
0.752222,11.067406
0.77664,11.084832
0.801785,11.064307
0.827457,11.064422
0.85255,11.08533
0.876873,11.06457
0.900502,10.956734
0.923663,10.745203
0.946649,10.419492
0.96974,9.978806
0.993167,9.425507
1.017089,8.756437
1.041581,7.986258
1.066646,7.128353
1.092198,6.205859
1.118146,5.249996
1.144296,4.292362
1.170531,3.370896
1.196696,2.512591
1.222668,1.753376
1.248351,1.110479
1.273658,0.604323
1.298458,0.251823
1.322607,0.051754
1.345921,0.001019
1.36828,-0.001019
1.389121,-0.001204
1.408454,-0.001204
1.426395,-0.001204
1.443174,-0.001204
1.459045,-0.001112
1.474271,-0.001112
1.489076,-0.001112
1.503618,-0.001204
1.517996,-0.001204
1.532244,-0.001112
1.546362,-0.001112
1.56033,-0.001112
1.574131,-0.001204
1.587763,-0.001204
1.601242,-0.001204
1.614605,-0.001112
1.627907,-0.001112
