distance,energy density (meV/angstrom^3)
0,0
0.010756,-0.001644253
0.021592,-0.001552905
0.032586,-0.001552905
0.043817,-0.001552905
0.055359,-0.001644253
0.067285,-0.001644253
0.079656,-0.001644253
0.092526,-0.001552905
0.105933,-0.001552905
0.119895,-0.001552905
0.134408,-0.001644253
0.149442,-0.001644253
0.164939,-0.001644253
0.180816,-0.001278863
0.196924,0.009227724
0.213185,0.095295864
0.229477,0.270455555
0.245689,0.455877654
0.261724,0.593778679
0.277503,0.670949105
0.292973,0.731741409
0.308055,0.939011615
0.322726,1.24796601
0.336994,1.548148335
0.350884,1.777372364
0.36443,1.908185044
0.377675,1.938912525
0.390658,1.886746167
0.403418,1.784675924
0.415984,1.677934189
0.428376,1.616751818
0.440614,1.606215115
0.452744,1.606064034
0.464737,1.606064034
0.476597,1.606064034
0.488334,1.606064034
0.499962,1.606154542
0.511501,1.606154542
0.522976,1.606154542
0.534418,1.606215115
0.534418,1.606215115
0.545048,1.6134563
0.555721,1.658261127
0.566477,1.787651677
0.577353,1.982996118
0.588384,2.201467207
0.599603,2.407691797
0.611041,2.574656781
0.622727,2.684222821
0.634688,2.727963409
0.646948,2.706440849
0.659532,2.629667541
0.672459,2.517966112
0.685747,2.407527395
0.699403,2.355093613
0.713312,2.409915948
0.727205,2.605665115
0.741063,2.854457452
0.754856,3.081170764
0.768548,3.236402098
0.782092,3.296027548
0.795434,3.25780321
0.808515,3.140740054
0.82128,2.982157217
0.833678,2.831613287
0.845673,2.742806984
0.857285,2.762932314
0.868838,2.908569638
0.880317,3.118543883
0.891694,3.343006547
0.902939,3.545723622
0.914022,3.702275993
0.924918,3.799539249
0.935609,3.833612478
0.94609,3.809423884
0.956364,3.738007712
0.966447,3.636755005
0.976362,3.526238961
0.986144,3.432315026
0.995831,3.379604013
1.005471,3.366728425
1.005471,3.366728425
1.021424,3.425673809
1.037376,3.54461761
1.053326,3.618477302
1.069271,3.582415576
1.085208,3.412772234
1.101134,3.121517773
1.117045,2.754510606
1.132939,2.388790465
1.148817,2.135731234
1.164685,2.106956483
1.180784,2.324744346
1.197128,2.658858486
1.213705,2.986308914
1.230496,3.220030324
1.247472,3.30741844
1.2646,3.236790318
1.28184,3.047994235
1.299149,2.838911057
1.316482,2.790453966
1.333725,3.011887959
1.350828,3.356840028
1.367742,3.699016935
1.384421,3.959760741
1.400817,4.093209778
1.416889,4.088758048
1.432595,3.974190041
1.447907,3.81111135
1.462808,3.691365963
1.477317,3.710445008
1.491723,3.796170275
1.50603,3.856343372
1.520236,3.844515541
1.534338,3.741267631
1.54833,3.549583872
1.562211,3.291487267
1.575984,3.000329355
1.589658,2.717066188
1.60325,2.493156104
1.616779,2.385833301
1.630279,2.365119289
1.630279,2.365119289
1.635518,2.366988286
1.640689,2.372509384
1.645785,2.383379158
1.650808,2.402093996
1.655753,2.434799008
1.6606,2.484250531
1.66538,2.549110973
1.670084,2.625275452
1.674757,2.71042423
1.679393,2.801706979
1.684,2.896717315
1.688577,2.993494909
1.693111,3.090080016
1.697593,3.184780633
1.702013,3.276350506
1.706363,3.363288965
1.710676,3.445128193
1.714918,3.520114281
1.719101,3.588503235
1.723236,3.649406081
1.727317,3.702646179
1.731356,3.74822495
1.735384,3.786054811
1.739378,3.815959205
1.743351,3.838224783
1.747305,3.852905719
1.751243,3.860555241
1.755173,3.861263629
1.759102,3.856010856
1.763038,3.845064921
1.76699,3.829031516
1.770969,3.808979784
1.774987,3.786085318
