distance,energy density (meV/angstrom^3)
0,0
0.011347,0
0.022768,0
0.034335,0
0.046117,0
0.058182,0
0.070588,0
0.083387,0
0.096621,0
0.110315,0
0.124482,0
0.139116,0
0.154192,0
0.169666,0
0.185478,0
0.201553,0.000273737
0.21777,0.01660626
0.234072,0.150007599
0.250369,0.355589307
0.266572,0.552613205
0.282604,0.70037919
0.298402,0.806789936
0.313928,0.94600795
0.329129,1.181598991
0.343987,1.443756853
0.358501,1.680656093
0.372679,1.871062474
0.386543,2.005735651
0.400117,2.078372936
0.413429,2.087309696
0.426509,2.041540996
0.439382,1.968482715
0.452074,1.910108126
0.464611,1.893073083
0.477039,1.892864042
0.489324,1.892864042
0.501487,1.892954354
0.513548,1.892954354
0.525531,1.892954354
0.537461,1.892864042
0.549364,1.893206222
0.549364,1.893206222
0.557581,1.893115909
0.566006,1.893206222
0.574437,1.81778565
0.582973,1.754001163
0.591694,1.730166914
0.600648,1.738397601
0.60974,1.809992182
0.619049,1.939857515
0.628637,2.103225016
0.638546,2.275357848
0.648804,2.433526338
0.659421,2.556742528
0.670394,2.628439071
0.681708,2.637735497
0.693335,2.583601136
0.705239,2.475071714
0.717374,2.334421314
0.729686,2.198043843
0.742117,2.116363065
0.754601,2.113195492
0.767029,2.170429795
0.779333,2.311355857
0.791452,2.507491402
0.803335,2.713867965
0.814936,2.90533792
0.826222,3.070120684
0.837166,3.20458521
0.847754,3.308061204
0.857979,3.379403685
0.867846,3.418441819
0.877365,3.424799301
0.886555,3.40073027
0.895438,3.351403493
0.904042,3.285228285
0.9124,3.213100411
0.920547,3.147906058
0.928521,3.101691521
0.936365,3.076667627
0.94412,3.061732858
0.951828,3.056568968
0.951828,3.056568968
0.97018,3.162656979
0.988575,3.45196399
1.007045,3.760709781
1.025625,3.97639746
1.044345,4.030758293
1.063231,3.907974392
1.082308,3.657554166
1.101599,3.410080521
1.121117,3.326245498
1.140764,3.421130415
1.160383,3.748703026
1.179974,4.107953164
1.19953,4.354517925
1.219038,4.427925987
1.238478,4.338487217
1.257822,4.144539529
1.277031,3.941454599
1.296057,3.858829768
1.314875,3.917602442
1.333656,4.17825188
1.352339,4.510933717
1.370869,4.792543616
1.389197,4.956641139
1.407281,4.979574398
1.425086,4.876926727
1.442582,4.6886476
1.459748,4.473170223
1.476585,4.327338387
1.493104,4.332626443
1.509398,4.45831627
1.525484,4.585187607
1.541373,4.631995924
1.557081,4.558692355
1.572621,4.359446269
1.588007,4.056921857
1.603257,3.696247325
1.618392,3.340256703
1.633435,3.069995377
1.648416,2.962431697
1.663366,2.94630728
1.663366,2.94630728
1.671205,2.951780954
1.679023,2.971407322
1.686798,3.020249593
1.69452,3.098587577
1.702198,3.193685859
1.709855,3.294130374
1.717524,3.390352733
1.725255,3.474648527
1.733099,3.540719809
1.741121,3.581653508
1.749382,3.591678483
1.757944,3.565825059
1.766856,3.499642091
1.776161,3.391071308
1.785875,3.242472211
1.796002,3.062054352
1.806507,2.866193917
1.817342,2.681931587
1.82842,2.549399568
1.839643,2.510868861
1.850867,2.550035643
1.861945,2.683364494
1.872779,2.867972161
1.883281,3.063911153
1.893403,3.244145977
1.903112,3.392390094
1.912411,3.500521597
1.921318,3.566349127
1.929876,3.591678483
1.938135,3.581476334
1.946159,3.540018529
1.954007,3.473953037
1.961745,3.389301107
1.969425,3.292726718
1.977096,3.192193321
1.984791,3.097000428
1.992531,3.018836211
2.000323,2.970523815
2.008156,2.951516035
2.016008,2.94630728
2.016008,2.94630728
2.039421,3.060016098
2.062831,3.402456568
2.086238,3.785352685
2.109636,4.098888636
2.133018,4.247120607
2.156378,4.176752217
2.179713,3.97474045
2.203023,3.898380664
2.226694,4.121686249
2.250765,4.43366515
2.275217,4.579705909
2.300012,4.436269559
2.325105,4.044057611
2.350441,3.606912003
2.375967,3.489493258
2.401764,3.651782785
2.427831,3.900970068
2.45412,3.957015884
2.480584,3.770538035
2.507184,3.401710749
2.533878,2.937135193
2.560626,2.648677559
2.587392,2.710431974
2.614135,3.052029432
2.640825,3.305556983
2.66744,3.285407283
2.693956,2.96892349
2.720358,2.555646343
2.746637,2.592019433
2.772881,2.932230421
2.799082,3.076454779
2.825232,2.881701904
2.851325,2.451566501
2.877356,2.112250719
2.903329,2.232392345
2.929299,2.524802119
2.955267,2.62589669
2.981231,2.399113413
3.007192,1.962167725
3.03315,1.713519573
3.03315,1.713519573
3.045765,1.713429332
3.058416,1.713429332
3.07114,1.713519573
3.083971,1.713519573
3.096944,1.713519573
3.110092,1.713519573
3.12345,1.713609819
3.137008,1.725985854
3.150908,1.798885059
3.165186,1.901174143
3.179853,1.97538219
3.194922,1.980722813
3.210367,1.897015049
3.226176,1.727209855
3.242302,1.487280771
3.258698,1.207039819
3.275288,0.947268375
3.291989,0.797496441
3.308714,0.696164859
3.325372,0.550892966
3.341892,0.357535213
3.358225,0.153823448
3.37435,0.017164437
3.390269,-0.004054741
3.406053,-0.003802812
3.421731,0.049582781
3.437308,0.090192149
3.452771,-0.016764606
3.468095,-0.029999461
3.483312,-0.029999461
3.498363,-0.029999461
3.5132,-0.029908216
3.527781,-0.029999461
3.542077,-0.029999461
3.556079,-0.029908216
3.569795,-0.029908216
3.583257,-0.029999461
3.596512,-0.029999461
3.609621,-0.029999461
3.622655,-0.029930311
